Test,Time
1,208900
2,15200
3,14800
4,14900
5,14700
6,14900
7,14800
8,14700
9,14900
10,14900
11,14800
12,14700
13,14800
14,14900
15,17100
16,14700
17,14700
18,14800
19,14900
20,14800
21,14800
22,14700
23,14900
24,15000
25,14800
26,14900
27,15000
28,14900
29,14900
30,14700
31,15000
32,17000
33,14900
34,14900
35,14900
36,17100
37,14900
38,14800
39,14900
40,17200
41,14900
42,14800
43,14900
44,14700
45,14700
46,14900
47,14800
48,14800
49,14900
50,14800
51,14900
52,14800
53,14700
54,14800
55,14900
56,14900
57,14900
58,15000
59,14900
60,15000
61,14800
62,29300
63,14800
64,17300
65,14900
66,14900
67,14700
68,14700
69,14700
70,14700
71,14700
72,14900
73,14700
74,14900
75,14700
76,14700
77,14800
78,14800
79,14700
80,14700
81,14900
82,14900
83,14700
84,14800
85,15000
86,15000
87,14900
88,14900
89,15000
90,14800
91,15000
92,14900
93,17000
94,14800
95,14900
96,14800
97,14900
98,14900
99,14800
100,14800
101,14800
102,14900
103,14700
104,15000
105,14800
106,14900
107,14700
108,14900
109,16800
110,15000
111,14900
112,14900
113,17600
114,14900
115,14900
116,14800
117,17200
118,14900
119,14900
120,14900
121,17000
122,14800
123,14900
124,14800
125,14800
126,14900
127,14700
128,14900
129,14900
130,14800
131,14900
132,14800
133,14900
134,15000
135,14900
136,14800
137,14900
138,14700
139,14800
140,14900
141,14900
142,14900
143,14900
144,14800
145,14800
146,14900
147,14800
148,14700
149,14900
150,14900
151,14800
152,14900
153,14900
154,14800
155,15000
156,14800
157,14900
158,14800
159,15000
160,14800
161,14700
162,14800
163,14900
164,14800
165,14900
166,15000
167,15000
168,14800
169,15000
170,14800
171,16600
172,14800
173,14800
174,14900
175,14700
176,14900
177,14900
178,17000
179,14800
180,14900
181,14800
182,16900
183,14800
184,14900
185,14900
186,17100
187,14900
188,14800
189,14700
190,17200
191,14900
192,14800
193,14800
194,14700
195,15000
196,14900
197,14800
198,14900
199,14600
200,15000
201,14900
202,14900
203,14900
204,14800
205,14800
206,14800
207,14900
208,14700
209,15000
210,14800
211,14900
212,14900
213,14900
214,14900
215,15000
216,14900
217,14800
218,43900
219,14700
220,14900
221,14900
222,17000
223,14900
224,14900
225,14900
226,14700
227,14700
228,14700
229,14900
230,14700
231,14900
232,14900
233,17600
234,58600
235,14800
236,14900
237,14700
238,14800
239,14900
240,14700
241,14900
242,14800
243,14900
244,14900
245,17000
246,14900
247,17000
248,14900
249,17000
250,15000
251,14700
252,14900
253,17000
254,14800
255,14900
256,14800
257,17100
258,14900
259,14900
260,14900
261,16900
262,14900
263,14800
264,14800
265,17000
266,14700
267,14900
268,14900
269,14700
270,14800
271,14900
272,14700
273,14900
274,14800
275,14800
276,14900
277,14800
278,20500
279,15000
280,15000
281,14900
282,19900
283,15000
284,14800
285,17700
286,15000
287,14900
288,14800
289,17200
290,14900
291,14900
292,14900
293,17200
294,14900
295,15000
296,14800
297,17100
298,14900
299,14800
300,14900
301,14700
302,14800
303,14700
304,14900
305,14800
306,14900
307,14800
308,14800
309,14800
310,14900
311,15000
312,14800
313,14800
314,14900
315,14900
316,14900
317,14800
318,14800
319,14900
320,14900
321,14900
322,14900
323,14800
324,14900
325,14900
326,14600
327,14900
328,14900
329,14900
330,14900
331,14700
332,14900
333,14700
334,14900
335,14700
336,14900
337,14900
338,14900
339,15000
340,17700
341,15000
342,14900
343,14800
344,14900
345,14900
346,14800
347,14700
348,14700
349,15000
350,14800
351,14900
352,14900
353,14900
354,14900
355,14900
356,14800
357,14900
358,14800
359,14700
360,14700
361,14900
362,17100
363,14900
364,14800
365,14700
366,16900
367,14800
368,14900
369,15000
370,17100
371,14900
372,14900
373,14900
374,17300
375,14900
376,14800
377,14700
378,14700
379,14900
380,14800
381,14700
382,14900
383,14900
384,14900
385,14700
386,14900
387,56500
388,14700
389,15000
390,14700
391,14800
392,14900
393,14900
394,14700
395,15000
396,14800
397,14800
398,14700
399,14900
400,14700
401,14800
402,14800
403,15000
404,14900
405,14700
406,15000
407,15000
408,14900
409,15000
410,14700
411,14900
412,14800
413,14700
414,14700
415,14900
416,14900
417,17700
418,14900
419,14800
420,14800
421,14800
422,14800
423,14800
424,14900
425,14900
426,17200
427,14900
428,14800
429,14900
430,17100
431,14900
432,14800
433,14800
434,17000
435,14900
436,14900
437,14800
438,17000
439,14800
440,14900
441,14700
442,16900
443,14900
444,14800
445,14900
446,14900
447,14800
448,14700
449,14800
450,14800
451,14800
452,14800
453,14800
454,14900
455,14800
456,14800
457,15000
458,14800
459,14800
460,14900
461,14800
462,15000
463,15000
464,44200
465,14900
466,14800
467,14900
468,14900
469,15000
470,17100
471,14900
472,14800
473,14900
474,17200
475,15000
476,14900
477,14900
478,17200
479,14900
480,14800
481,15000
482,17100
483,14900
484,14900
485,14900
486,16900
487,14900
488,14900
489,14900
490,14700
491,14800
492,14700
493,14900
494,14800
495,14700
496,14900
497,14700
498,14900
499,14800
500,14800
501,14900
502,14700
503,14900
504,14600
505,14700
506,15000
507,14900
508,14800
509,14900
510,39000
511,15000
512,14800
513,15000
514,14900
515,14900
516,14900
517,14900
518,14900
519,14900
520,14700
521,14900
522,14900
523,15000
524,14900
525,14800
526,15000
527,14800
528,14900
529,14700
530,14900
531,14900
532,14700
533,14800
534,14900
535,14900
536,14900
537,14900
538,14700
539,15000
540,14900
541,15000
542,15000
543,14800
544,14900
545,14900
546,14800
547,14900
548,14900
549,14700
550,14700
551,14800
552,14800
553,14700
554,14800
555,14700
556,15000
557,56800
558,14900
559,14900
560,14900
561,15000
562,15000
563,14900
564,14700
565,14800
566,14800
567,14700
568,14800
569,14800
570,17000
571,17400
572,14800
573,14900
574,17200
575,14700
576,15000
577,14900
578,17200
579,14700
580,14900
581,14600
582,17500
583,14900
584,14900
585,14900
586,17000
587,56900
588,56300
589,14800
590,14900
591,14700
592,14900
593,14900
594,14900
595,14800
596,15000
597,14900
598,15000
599,14900
600,14900
