Test,Time
1,7151300
2,6536700
3,6599800
4,6737100
5,6685200
6,6822900
7,7039600
8,6721200
9,6770500
10,6496900
11,6534400
12,6588000
13,6713100
14,6527700
15,6636200
16,6649000
17,6773100
18,6515600
19,6588200
20,6487900
21,6512600
22,6638200
23,6706800
24,6603700
25,6506600
26,6798500
27,6897100
28,6827700
29,7133600
30,6654600
31,6503000
32,6591500
33,6802700
34,6796400
35,7053200
36,6748400
37,6763000
38,6570900
39,6899600
40,6824100
41,6639200
42,6814100
43,6939800
44,6985600
45,6825200
46,6666300
47,6501300
48,6593200
49,6480200
50,6742900
51,6585600
52,6711400
53,6816500
54,7178400
55,6985800
56,6936300
57,7015900
58,6513800
59,6668900
60,7507100
61,6716600
62,7016600
63,6650400
64,6613300
65,6546300
66,6601900
67,6625700
68,6754200
69,6509400
70,6920200
71,6768800
72,6797200
73,6617100
74,6667400
75,6526900
76,6549800
77,6538100
78,6502900
79,6722000
80,6699200
81,6788600
82,6679200
83,6662200
84,6733400
85,6701700
86,6805300
87,6622200
88,6522200
89,6622800
90,6474800
91,6886000
92,6639200
93,6627500
94,6543100
95,6701800
96,6549000
97,6588800
98,6868300
99,6636500
100,6682400
101,6551300
102,6712500
103,6501500
104,6719500
105,6614900
106,6789900
107,6691700
108,6750200
109,6519100
110,6850400
111,6824500
112,6673700
113,6523900
114,6608200
115,6762800
116,6772400
117,6631600
118,7002700
119,6605700
120,6486900
121,6681100
122,6876500
123,6928400
124,6767700
125,6975300
126,6875200
127,6879300
128,6608800
129,6723100
130,6835400
131,6947200
132,6706700
133,6810200
134,6551700
135,6607400
136,6590000
137,6518600
138,6848400
139,6537500
140,6527900
141,6580600
142,6643100
143,6671500
144,6603000
145,6498500
146,6883100
147,6727400
148,6768400
149,6606600
150,6747700
151,6496300
152,6538200
153,7084400
154,6623600
155,7146800
156,6594900
157,6483100
158,6586100
159,6663000
160,6665800
161,6678800
162,6696400
163,6957500
164,6759300
165,6597400
166,6722900
167,6690700
168,6729300
169,6846400
170,6473800
171,6513300
172,6518100
173,6743100
174,6640800
175,6949600
176,6717700
177,6608700
178,6532800
179,7007700
180,6475000
181,6704000
182,6627300
183,6863200
184,6698400
185,6879400
186,6668600
187,6576600
188,6569700
189,6544000
190,6896300
191,6497700
192,6934800
193,6878200
194,6601000
195,6723900
196,6981600
197,6852600
198,6489600
199,6512100
200,6587800
201,6706900
202,6945700
203,6517200
204,6705700
205,6501300
206,6607600
207,6598400
208,6482100
209,6571000
210,6842300
211,6897400
212,7009600
213,6515000
214,6981700
215,6796900
216,6726100
217,6714800
218,6757700
219,6748600
220,6827500
221,6617000
222,6503900
223,6882900
224,6686000
225,6869300
226,6479800
227,6942000
228,6842200
229,6885400
230,6629600
231,6678500
232,6875400
233,6639000
234,6898900
235,6923100
236,6639900
237,6820300
238,6704800
239,6485100
240,6493800
241,6488400
242,6624600
243,6642100
244,6728400
245,6524200
246,6870600
247,6865000
248,7030000
249,6578200
250,6582900
251,6858600
252,6480500
253,6993200
254,6903100
255,6633000
256,6777300
257,6627700
258,6494300
259,6777100
260,6545900
261,6779600
262,6749400
263,6708200
264,6829000
265,6824100
266,6702700
267,6639000
268,6814100
269,7012800
270,6740300
271,6599600
272,6571800
273,6691000
274,6799100
275,6732700
276,6955800
277,6544300
278,6951500
279,6568700
280,6715600
281,6941100
282,7015600
283,6954300
284,6725600
285,6549100
286,6889900
287,6668100
288,6915800
289,6763000
290,6468200
291,6482800
292,6688700
293,6700800
294,7041700
295,6994400
296,6825100
297,6784700
298,6649400
299,6692500
300,6791100
301,6509900
302,6648900
303,6952400
304,6655400
305,6577300
306,6498700
307,6543100
308,6668900
309,6867000
310,6626300
311,6933400
312,6866900
313,6495400
314,6626200
315,6709100
316,6811400
317,6509500
318,6568700
319,6574100
320,6616500
