Test,Time
1,4295600
2,4006900
3,3927800
4,4026600
5,3972100
6,3829600
7,4089200
8,3808500
9,4288600
10,4041400
11,4161500
12,3904600
13,4327700
14,3807600
15,4041900
16,3877200
17,4087400
18,3909800
19,3815500
20,3802700
21,4160900
22,4086600
23,3974800
24,3887400
25,3987000
26,3813700
27,3801700
28,3813400
29,3992700
30,3799800
31,3945800
32,3796400
33,3961200
34,3884800
35,3984900
36,4070000
37,4092100
38,3807500
39,3998800
40,3901000
41,3982600
42,3847400
43,4017300
44,3801000
45,4158100
46,4039200
47,3812800
48,3796500
49,4035800
50,3800200
51,3798500
52,3976700
53,4337700
54,3998500
55,3806000
56,4002200
57,4186700
58,3926500
59,3812200
60,3805700
61,4181300
62,3798800
63,4005000
64,3979300
65,4010800
66,3890500
67,4013300
68,4050000
69,4215800
70,3802900
71,3819100
72,3913600
73,4039700
74,3803600
75,3805200
76,3801400
77,4199800
78,4060700
79,3852700
80,3904500
81,3855200
82,3806000
83,3797300
84,3892200
85,4124300
86,3941300
87,3818100
88,3799700
89,3797600
90,3924300
91,3973800
92,3894700
93,3978300
94,3816700
95,4145000
96,3984000
97,4154800
98,3915200
99,4062800
100,3796600
101,4053000
102,4069400
103,3801500
104,4024100
105,3840000
106,4452800
107,3999300
108,4162300
109,3803200
110,4042600
111,3795300
112,3894000
113,4144000
114,3800900
115,3870100
116,4077100
117,3806800
118,3801900
119,4024600
120,4035200
121,4753700
122,3807200
123,3802300
124,4135300
125,3803700
126,3817900
127,3805200
128,3804100
129,3874600
130,3970000
131,3982000
132,4012300
133,4065700
134,3989700
135,3856500
136,3867400
137,3825800
138,3828700
139,3930700
140,3872300
141,5328300
142,3860800
143,4272400
144,3898300
145,3844600
146,3831400
147,3887800
148,4344800
149,4180300
150,3922700
151,11540200
152,15002400
153,3843400
154,11072000
155,3973100
156,4293500
157,3834000
158,3829400
159,3831000
160,4092400
161,4430000
162,3922300
163,3820000
164,4099200
165,5064300
166,3809100
167,3804000
168,3879000
169,3803800
170,3972600
171,3801100
172,4358700
173,3994600
174,3800900
175,4001200
176,4147000
177,3888800
178,3797400
179,3797300
180,4007300
181,3897900
182,4152600
183,3837500
184,3828000
185,3967300
186,4050700
187,3853300
188,3827600
189,3999800
190,3841300
191,4003600
192,4030900
193,3965100
194,3851600
195,3823200
196,3978400
197,3984000
198,3959600
199,4228000
200,3872300
201,4007600
202,4169900
203,4028400
204,3815800
205,3810000
206,3915600
207,3823900
208,3798400
209,3817500
210,4143600
211,3803700
212,3963000
213,3803100
214,3902700
215,3883700
216,3957200
217,3839100
218,4016500
219,3805700
220,4001600
221,3921400
222,3806800
223,3828700
224,3819000
225,3800200
226,4007300
227,3920000
228,3833100
229,4023900
230,3886400
231,3852900
232,3868000
233,3818400
234,3850800
235,3960400
236,3938400
237,4050300
238,3896500
239,3846200
240,3882800
241,3824800
242,3812100
243,3820800
244,3855600
245,3867200
246,3933700
247,3853600
248,3967500
249,3830300
250,3852400
251,3831800
252,4135700
253,3909900
254,3807700
255,3877000
256,3806500
257,3852000
258,3839200
259,3810500
260,4191800
261,4458000
262,3993600
263,3835100
264,4147000
265,3999000
266,4295700
267,3839900
268,4039200
269,4145000
270,3853100
271,3896300
272,3938600
273,3829300
274,3836400
275,3813000
276,3884500
277,4024100
278,3854500
279,3973400
280,3874800
281,4856100
282,3843200
283,3815900
284,3908800
285,3959600
286,3817000
287,3997000
288,3904100
289,4009200
290,3799300
291,3946800
292,4000900
293,3801600
294,3924400
295,4003100
296,3914500
297,4023400
298,3802300
299,4023800
300,3804200
301,3820800
302,3885300
303,3833200
304,3981400
305,4004900
306,3892700
307,3858500
308,3973300
309,4034900
310,3901400
311,4004600
312,3816300
313,3803800
314,3812000
315,3802300
316,3925300
317,3826000
318,3916300
319,3996900
320,3993600
321,3802600
322,4003800
323,3831600
324,4019000
325,4050000
326,3908100
327,3857300
328,3993000
329,3803100
330,3931000
331,4032700
332,4040500
333,3813400
334,3923200
335,3802000
336,3805200
337,4015000
338,4064800
339,4031500
340,3886000
341,4066100
342,4037000
343,3830600
344,3922300
345,3885000
346,3796700
347,3988300
348,3955400
349,4040400
350,3954500
351,3804800
352,4009700
353,4011800
354,4198400
355,3910300
356,4088400
357,3806400
358,3799200
359,3817500
360,4103000
361,3812800
362,3935000
363,3819800
364,4227000
365,3801700
366,3802300
367,4053100
368,3804300
369,3799600
370,3948300
371,3988500
372,3823300
373,3800800
374,3942400
375,4053300
376,3804000
377,3952500
378,3996900
379,3901600
380,3806000
381,3842200
382,4216500
383,3884700
384,4304400
385,3842900
386,3825400
387,3800500
388,3799000
389,3811900
390,3950600
391,3978900
392,3834400
393,4538800
394,3955300
395,3849000
396,3850900
397,4129500
398,4168100
399,3993900
400,3815000
401,3960300
402,3843200
403,3833200
404,3827900
405,4003700
406,3836600
407,4005400
408,3922700
409,4743200
410,3826100
411,3835000
412,4280000
413,3824200
414,3820900
415,3847900
416,3886900
417,4229500
418,4301600
419,4435900
420,3945600
421,4254400
422,3892400
423,4407100
424,4067000
425,4264200
426,4025700
427,4188300
428,4074300
429,4008500
430,4106800
431,4020500
432,3859300
433,3922400
434,3949900
435,3831900
436,4623200
437,4068400
438,3814800
439,3814900
440,4080800
441,3843000
442,3870000
443,4219700
444,3812700
445,4212300
446,4054500
447,4179500
448,3843800
449,3882500
450,4206200
451,3824900
452,3837000
453,3872400
454,3947800
455,3993000
456,3978700
457,4004600
458,3828300
459,3923300
460,3905100
461,4173100
462,3809500
463,3844100
464,3884000
465,3849600
466,4253000
467,3813700
468,3851400
469,3810100
470,4080200
471,3805000
472,3857600
473,3835700
474,4027400
475,4074700
476,3815200
477,4189700
478,3866900
479,3854200
480,3853800
481,3820300
482,3971300
483,3854100
484,3820000
485,4170200
486,3810100
487,3806800
488,3820300
489,4094100
490,4176800
491,3931300
492,3813800
493,3925100
494,3822200
495,3970100
496,4042600
497,3820100
498,3890300
499,3853900
500,3863800
501,3835300
502,4211200
503,3838900
504,3872600
505,4150000
506,3955000
507,3981200
508,3814700
509,3870100
510,4024200
511,3873300
512,3827000
513,3900800
514,3850900
515,4568200
516,3993000
517,4253700
518,4020700
519,3866200
520,4080100
521,3832700
522,3824500
523,3985700
524,3918200
525,4180400
526,3827400
527,4020100
528,3923100
529,3950200
530,3956100
531,3912800
532,4043600
533,3883200
534,4028700
535,3997600
536,3894100
537,3851800
538,4265600
539,4284700
540,4720300
541,4181200
542,3821000
543,3892200
544,4164000
545,4060200
546,4235500
547,4237600
548,4134700
549,4071800
550,4375500
551,4031800
552,4435300
553,3846700
554,4093600
555,3910100
556,3992200
557,3865800
558,4023400
559,3912200
560,3993400
561,3871100
562,3830900
563,5546700
564,4102900
565,3829200
566,3833200
567,3826100
568,3890400
569,3843800
570,4167900
571,4021400
572,3826600
573,4038400
574,3835500
575,3815600
576,3925900
577,3818800
578,3903700
579,3847000
580,3843000
581,3817700
582,3817100
583,3823000
584,3831400
585,3829400
586,3962600
587,4152400
588,3872300
589,3802300
590,3963500
591,3993200
592,4149800
593,3910200
594,3801300
595,3808200
596,4268400
597,3798700
598,3822600
599,3986600
600,4150200
