Test,Time
1,3906100
2,3615000
3,3573200
4,3464400
5,3659900
6,3580700
7,3524300
8,3439700
9,3464500
10,3690400
11,3426000
12,3543700
13,3475200
14,3466800
15,3807000
16,3591400
17,3443900
18,3603300
19,3443000
20,3469800
21,3461300
22,3477200
23,3552200
24,3719800
25,3727600
26,3650600
27,3622800
28,3620200
29,3501800
30,3762200
31,3591800
32,3684300
33,3435900
34,3461900
35,3447600
36,3607500
37,3484600
38,3714100
39,3458100
40,3613100
41,3435200
42,3504700
43,3441300
44,3451900
45,3639300
46,3529200
47,3658000
48,3537300
49,3871300
50,3618700
51,3544800
52,3672600
53,3586700
54,3431400
55,3550700
56,3462600
57,3651700
58,3615400
59,3480900
60,3438000
61,3611400
62,3625800
63,3503300
64,3457500
65,3437400
66,3508900
67,3605200
68,3522000
69,3701000
70,3448100
71,3622100
72,3440100
73,3548100
74,3439100
75,3562000
76,3727100
77,3564000
78,3740400
79,3430800
80,3435600
81,3484000
82,3574300
83,3455200
84,3457700
85,3597200
86,3462500
87,3436400
88,3455600
89,3570200
90,3677600
91,3684000
92,3462400
93,3438800
94,3665100
95,3541700
96,3435600
97,3609100
98,3437700
99,3561700
100,3583600
101,4059000
102,3794100
103,3452500
104,3629600
105,3558900
106,3573300
107,3468200
108,3431600
109,3889300
110,3565600
111,3603000
112,3523000
113,3708600
114,3697300
115,3462900
116,3506000
117,3605400
118,3480600
119,3450800
120,3444500
121,3450500
122,3828300
123,3434600
124,3431400
125,3438800
126,3444000
127,3511300
128,3615800
129,3522100
130,3599900
131,3444100
132,3435200
133,3423300
134,3580500
135,3467400
136,3450500
137,3457000
138,3569900
139,3436500
140,3473900
141,3580100
142,3471400
143,3534800
144,3631900
145,3451400
146,3831000
147,3511200
148,3767400
149,3623400
150,3431500
151,3448200
152,3450700
153,3543400
154,3454200
155,3439400
156,3680800
157,3657400
158,3434700
159,3476400
160,3454900
161,3472100
162,3446700
163,3739200
164,3449100
165,3737800
166,3464400
167,3475500
168,3487600
169,3580900
170,3439500
171,3640100
172,3457500
173,3434400
174,3602600
175,3453100
176,3465400
177,3478700
178,3442700
179,3499800
180,3648600
181,3454100
182,3702000
183,3630200
184,3473800
185,3650500
186,3479400
187,3445300
188,3459900
189,3486000
190,3537700
191,3638300
192,3446100
193,3443300
194,3453000
195,3457000
196,3494700
197,3473700
198,3476100
199,3571900
200,3642200
201,3639800
202,3436900
203,3645800
204,3584800
205,3429000
206,3625200
207,3430000
208,3974100
209,3497200
210,3456700
211,3439800
212,3691300
213,3491500
214,3678500
215,3464400
216,3678700
217,3491400
218,3619500
219,3527400
220,3457700
221,3578800
222,3529800
223,3640400
224,3429600
225,3432000
226,3458900
227,3555600
228,3483800
229,3594500
230,3455200
231,3458500
232,3637200
233,3493400
234,3605000
235,3494700
236,3880400
237,3676600
238,3436100
239,3459300
240,3449200
241,3439400
242,3435000
243,3496300
244,3499000
245,3801800
246,3469200
247,3451600
248,3440500
249,3586000
250,3572800
251,3558200
252,3509700
253,3442800
254,3584300
255,3449100
256,3449600
257,3585700
258,3434100
259,3515000
260,3568000
261,3473900
262,3580800
263,3465600
264,3573400
265,3432700
266,3496500
267,3753600
268,3564600
269,3748800
270,3479600
271,3584300
272,3627100
273,3467400
274,3595900
275,3439600
276,3629400
277,3557300
278,3619600
279,3547400
280,3615000
281,3454100
282,3693300
283,3718200
284,3580700
285,3450600
286,3675300
287,3485300
288,3578200
289,3455600
290,3446700
291,3790800
292,3522500
293,3620900
294,3604300
295,3474100
296,3428400
297,3560500
298,3693800
299,3686400
300,3448500
301,3450900
302,3497100
303,3465200
304,3940100
305,3486900
306,3498000
307,3457000
308,3612500
309,3482600
310,3428100
311,3479200
312,3898100
313,3548300
314,3768700
315,3484400
316,3571400
317,3506500
318,3458400
319,3624400
320,3503600
321,3625600
322,3503300
323,3455300
324,3442800
325,3537800
326,3461800
327,3759300
328,3456400
329,3425300
330,3863100
331,3432900
332,3460900
333,3533300
334,3732400
335,3535500
336,3589200
337,3441500
338,3671300
339,3689000
340,3756600
341,3650100
342,3468000
343,3629100
344,3593400
345,3443400
346,3432500
347,3534100
348,3662300
349,3647300
350,3448100
351,3462000
352,3444400
353,3492200
354,3603300
355,3564900
356,3472800
357,3682600
358,3449400
359,3440300
360,3665900
361,3441300
362,3513300
363,3622300
364,3597900
365,3583700
366,3456700
367,3576100
368,3440300
369,3571000
370,3809500
371,3732500
372,3462600
373,3522000
374,3769700
375,3457300
376,3771400
377,3689400
378,3477000
379,3594200
380,3455100
381,3486300
382,3537000
383,3593600
384,3509400
385,3794300
386,3445800
387,3636000
388,3681300
389,3617000
390,3663100
391,3567600
392,3477100
393,3458400
394,3615900
395,3534100
396,3662900
397,3520600
398,3487800
399,3669800
400,3590900
401,3705700
402,3565500
403,3815400
404,3743400
405,3614700
406,3495100
407,3722000
408,3470400
409,3818700
410,3504900
411,3573900
412,3489900
413,3535800
414,3494400
415,3569400
416,3429700
417,3504400
418,3447800
419,3461800
420,3455000
421,3644000
422,3699200
423,3557900
424,3596900
425,3619200
426,3517900
427,3443300
428,3434000
429,3639000
430,3439600
431,3596100
432,3469100
433,3628000
434,3455400
435,3540300
436,3635200
437,3581400
438,3623600
439,3578000
440,3591400
441,3526300
442,3452500
443,3710700
444,3873500
445,3470800
446,3474900
447,3706000
448,3437900
449,3450600
450,3608200
451,3479200
452,3477500
453,3634800
454,3526800
455,3600600
456,3592200
457,3828300
458,3432300
459,3465600
460,3508200
461,3442500
462,3547700
463,3604400
464,3491100
465,3659000
466,3475700
467,3545300
468,3638500
469,3461900
470,3691600
471,3567700
472,3960200
473,3480900
474,3485000
475,3433400
476,3658100
477,3515600
478,3821400
479,3536400
480,3764800
481,3526200
482,3458600
483,3446600
484,3466300
485,3454100
486,3582600
487,3496900
488,3453200
489,3444400
490,3535400
491,3445500
492,3543200
493,3456900
494,3516900
495,3450900
496,3493100
497,3500000
498,3438300
499,3780400
500,3456000
501,3454200
502,3649900
503,3547900
504,3489100
505,3528300
506,3499300
507,3455900
508,3610900
509,3550400
510,3800500
511,3450400
512,3448100
513,3563500
514,3798900
515,3505500
516,3621100
517,3511700
518,3467400
519,3464100
520,3478600
521,3444700
522,3562700
523,3461600
524,3714300
525,3495700
526,3590300
527,3634300
528,3463200
529,3786000
530,3592700
531,3431200
532,3486000
533,3463000
534,3712900
535,3709500
536,3638400
537,3604700
538,3639700
539,3451500
540,3449100
541,3531700
542,3625700
543,3465200
544,3453000
545,3525700
546,3631700
547,3459400
548,3652600
549,3463000
550,3603200
551,3814700
552,3671400
553,3538400
554,3660800
555,3775600
556,3669200
557,3491200
558,3523500
559,3675600
560,3464200
561,3508200
562,3446800
563,3454000
564,3529300
565,3721100
566,3655600
567,3620000
568,3698500
569,3549400
570,3920900
571,3501200
572,3684100
573,3457700
574,3436500
575,3573900
576,3467300
577,3508300
578,3472000
579,3560400
580,3556500
581,3479100
582,3467100
583,4284000
584,3479700
585,3489700
586,3515900
587,3443100
588,3750100
589,3610400
590,3465900
591,3482400
592,3572500
593,3482900
594,3476400
595,3461800
596,3455000
597,3469800
598,3501800
599,3461700
600,3483800
