Test,Time
1,375001
2,149600
3,147499
4,147400
5,149400
6,147100
7,196300
8,148000
9,149599
10,148601
11,146299
12,144600
13,146900
14,148500
15,148400
16,147400
17,149299
18,149200
19,145701
20,146300
21,146501
22,148999
23,147700
24,147500
25,146700
26,148799
27,149301
28,149100
29,146499
30,148999
31,149400
32,148500
33,146900
34,146100
35,149201
36,147799
37,144299
38,146900
39,148900
40,149801
41,146400
42,146501
43,147499
44,148800
45,149201
46,146300
47,321000
48,147501
49,146500
50,144200
51,151700
52,149300
53,146200
54,146300
55,149400
56,194400
57,148699
58,145700
59,145700
60,148801
61,151501
62,144800
63,146199
64,148500
65,149400
66,149199
67,146601
68,145500
69,148100
70,148801
71,149500
72,147700
73,148199
74,149100
75,146199
76,149999
77,149099
78,149299
79,148400
80,144800
81,323100
82,149400
83,146299
84,148701
85,363899
86,146001
87,144300
88,147400
89,186000
90,149100
91,147201
92,144899
93,148400
94,151200
95,145400
96,145200
97,147301
98,149900
99,233400
100,146700
101,145800
102,143499
103,154800
104,147799
105,147000
106,146000
107,149600
108,151700
109,150200
110,144299
111,145800
112,148400
113,181800
114,230200
115,148900
116,146001
117,146900
118,158700
119,147200
120,147900
121,147400
122,148400
123,149601
124,148800
125,146700
126,145200
127,150200
128,150501
129,146600
130,147400
131,149599
132,148801
133,149600
134,146100
135,147200
136,147400
137,148500
138,148100
139,147400
140,148800
141,149300
142,145700
143,292500
144,148700
145,146600
146,143900
147,330400
148,146900
149,144600
150,148900
151,156099
152,147900
153,145999
154,149299
155,149499
156,187001
157,146400
158,146600
159,147400
160,148100
161,147900
162,147000
163,149500
164,148900
165,147500
166,239100
167,147400
168,146900
169,148300
170,148200
171,149601
172,147400
173,146901
174,149200
175,148301
176,146599
177,146801
178,149299
179,149800
180,147400
181,146100
182,148900
183,148500
184,146201
185,145600
186,146700
187,148200
188,148099
189,147200
190,145800
191,148900
192,148900
193,145100
194,147001
195,148900
196,150300
197,148999
198,146700
199,145500
200,148900
201,148800
202,147300
203,146700
204,147900
205,148900
206,148400
207,145401
208,147199
209,148700
210,149100
211,148700
212,146699
213,147499
214,149100
215,142800
216,147999
217,146200
218,148600
219,145900
220,147100
221,150799
222,149701
223,149001
224,146499
225,148800
226,169199
227,148301
228,147400
229,147301
230,149500
231,150800
232,149999
233,146199
234,148601
235,147900
236,218599
237,149900
238,147701
239,147499
240,152600
241,148701
242,147800
243,146000
244,145800
245,149200
246,149200
247,147100
248,146700
249,147900
250,160800
251,143701
252,146200
253,149499
254,147701
255,210800
256,220599
257,148600
258,144999
259,145701
260,147400
261,148501
262,147900
263,145600
264,146300
265,149200
266,149000
267,145699
268,147400
269,147799
270,151500
271,146499
272,144700
273,148501
274,147200
275,150301
276,145000
277,148900
278,149001
279,148600
280,146700
281,145000
282,148400
283,147800
284,147000
285,147900
286,147600
287,149099
288,149700
289,146500
290,335000
291,149199
292,147800
293,148100
294,150799
295,149600
296,146601
297,146100
298,149000
299,150700
300,145000
301,144799
302,146299
303,149300
304,150700
305,146600
306,146400
307,148300
308,148200
309,254800
310,148900
311,263400
312,149799
313,147800
314,144000
315,217000
316,169300
317,148100
318,147299
319,146501
320,151200
321,148600
322,149000
323,146799
324,146301
325,150700
326,148001
327,145199
328,145899
329,149300
330,150900
331,148200
332,145100
333,145701
334,148800
335,149400
336,146999
337,146600
338,146800
339,148600
340,148000
341,148400
342,149200
343,148500
344,147099
345,148701
346,146301
347,149400
348,147900
349,144600
350,147200
351,147199
352,148699
353,146100
354,147000
355,148200
356,146900
357,147200
358,145501
359,145200
360,150499
361,147900
362,146601
363,145400
364,149099
365,149101
366,146301
367,146400
368,148499
369,149499
370,150900
371,147000
372,146501
373,149200
374,148500
375,149900
376,147699
377,147900
378,149100
379,146799
380,148799
381,147600
382,148100
383,147801
384,147000
385,150900
386,148800
387,149700
388,146401
389,147801
390,310800
391,146700
392,144200
393,147999
394,151100
395,145901
396,145200
397,148700
398,147700
399,147699
400,146201
401,150499
402,147200
403,148001
404,144799
405,148200
406,148200
407,147900
408,146300
409,145301
410,149400
411,148601
412,144300
413,145201
414,149000
415,146100
416,149699
417,144901
418,149100
419,149900
420,147001
421,146800
422,146500
423,147800
424,149299
425,146500
426,145400
427,149200
428,147500
429,145500
430,146500
431,148900
432,148500
433,148201
434,147200
435,144000
436,146200
437,149600
438,146900
439,147100
440,149900
441,149100
442,144100
443,146500
444,148301
445,191300
446,148300
447,146500
448,146800
449,148799
450,149400
451,149100
452,145600
453,147200
454,149400
455,147999
456,146499
457,145799
458,148400
459,149200
460,148099
461,146601
462,148100
463,149500
464,149300
465,147300
466,144999
467,148300
468,149300
469,150200
470,146500
471,146400
472,147200
473,148700
