Test,Time
1,6263200
2,5815100
3,5646400
4,5589600
5,5594000
6,5630400
7,5850300
8,5862400
9,5568600
10,5920500
11,5573200
12,5750900
13,5826900
14,5686100
15,5983700
16,5570000
17,5771600
18,5759300
19,5579900
20,5905700
21,5924600
22,5834100
23,5598800
24,5751300
25,5713800
26,5646500
27,5702500
28,5564200
29,5675800
30,5772300
31,5810500
32,5883200
33,5891800
34,5832400
35,6140800
36,5562700
37,6016000
38,5824700
39,5633200
40,5622500
41,5756600
42,5794700
43,5609100
44,5569100
45,5926400
46,5646000
47,5581400
48,6047200
49,5736300
50,5706200
51,5583100
52,5880700
53,5775300
54,5698800
55,5591600
56,5950100
57,5615300
58,5598400
59,5756600
60,5888100
61,5601800
62,5766000
63,6446900
64,6061300
65,5594800
66,5644300
67,5811700
68,5953600
69,5807400
70,5703500
71,6772500
72,5878200
73,5931200
74,7975900
75,5722500
76,5585300
77,5660700
78,5606200
79,6223600
80,5967700
81,6111000
82,6718000
83,6255900
84,6243300
85,5947700
86,6274300
87,6167200
88,6311900
89,6165000
90,5981400
91,6283300
92,6296800
93,6278000
94,5852700
95,6105400
96,5870800
97,5698000
98,6267600
99,6877500
100,6144400
101,6382500
102,5868700
103,6236400
104,6294000
105,6392600
106,6276800
107,6085600
108,6133500
109,6354100
110,6243900
111,6079100
112,6113000
113,6003300
114,6319600
115,6251800
116,5875600
117,6177800
118,6212600
119,6215100
120,6333600
121,6208500
122,6040500
123,6287600
124,6517000
125,6212500
126,5902000
127,6097300
128,6328200
129,6339500
130,6155400
131,6191100
132,6386900
133,6141600
134,6374700
135,6356600
136,6054000
137,6314200
138,6349000
139,6420800
140,6257000
141,6167700
142,6073800
143,6295100
144,6206500
145,5581000
146,6317900
147,6197700
148,6197000
149,6039300
150,6104300
151,6122900
152,6099600
153,6118300
154,6217900
155,5909400
156,6383000
157,6174800
158,5859900
159,6220700
160,6025100
161,6027000
162,5800900
163,6070200
164,5663600
165,5720900
166,5891000
167,5906400
168,5805800
169,5877100
170,6041000
171,5704700
172,5635600
173,5831100
174,5594200
175,5625000
176,5794400
177,5835200
178,6065900
179,5853600
180,5578300
181,5638000
182,5584900
183,5616000
184,5646600
185,5686800
186,5768000
187,5897000
188,5589300
189,6012000
190,5761400
191,5612100
192,6083900
193,5631300
194,5570200
195,5812400
196,5659900
197,5773000
198,5622400
199,5899300
200,5580300
201,5821900
202,5816500
203,5567000
204,5870100
205,5848000
206,5819800
207,5987600
208,5988400
209,5568600
210,5924100
211,5799300
212,5709700
213,5781900
214,5585900
215,5779000
216,5913000
217,5806700
218,5638900
219,5701200
220,5652300
221,5659000
222,6638600
223,5969200
224,5625300
225,5940300
226,5662700
227,5821400
228,5864400
229,7992100
230,7516700
231,7441200
232,5780000
233,5678700
234,6040600
235,6481400
236,5983300
237,17282700
238,14596100
239,12453600
240,5591700
241,5951900
242,5647800
243,5611400
244,5647400
245,5646200
246,5587100
247,5891900
248,5674100
249,5904200
250,5677200
251,5927900
252,5671100
253,5942600
254,6086800
255,5978800
256,5763700
257,6204100
258,5871100
259,5625000
260,5902800
261,6088100
262,7300600
263,6311900
264,6386300
265,5942200
266,5942600
267,5631000
268,5591400
269,6082700
270,5808100
271,5717000
272,5798400
273,5783200
274,5573100
275,5695900
276,5602100
277,5717200
278,5627700
279,5611600
280,5615200
281,5651100
282,5890800
283,5819700
284,5962900
285,5621800
286,5760400
287,5632300
288,5800000
289,5630400
290,5907300
291,5688800
292,5634900
293,6019200
294,6059200
295,5577700
296,5636600
297,5734900
298,5829600
299,5984500
300,10435200
301,8552200
302,9002900
303,11871000
304,5688000
305,6214500
306,6836300
307,6952000
308,7430300
309,5815700
310,6133000
311,9045300
312,7322300
313,7647200
314,7296700
315,7420400
316,6190400
317,6088000
318,6044800
319,6045900
320,6421000
321,6248100
322,6492000
323,5757000
324,6223200
325,6707700
326,5848800
327,5837000
328,5846900
329,5935700
330,6047500
331,6154100
332,5662400
333,5878700
334,5777600
335,5801800
336,5900500
337,6220100
338,5984900
339,5582300
340,5848600
341,5897200
342,5837500
343,5745700
344,5704500
345,5660500
346,5798300
347,5790100
348,6435300
349,5652200
350,5719500
351,5776200
352,5900300
353,6016300
354,5646400
355,5658600
356,5622800
357,5759300
358,5861900
359,5708700
360,5978200
361,5650600
362,5928300
363,5639500
364,5643100
365,6275900
366,5807000
367,5993400
368,5838700
369,7676200
370,5841400
371,5688800
372,5771500
373,6313500
374,5767500
375,5898000
376,5704200
377,5702700
378,5655000
379,5696900
380,6829200
381,7107200
382,5618500
383,5678900
384,5793800
385,5691500
386,6000400
387,5652000
388,5815300
389,6891500
390,5687600
391,5955900
392,5740400
393,5778100
394,5728700
395,5711400
396,7181500
397,6284700
398,5678400
399,5924100
400,5619200
401,5689100
402,5664000
403,5647900
404,5918700
405,5692900
406,6175100
407,5710900
408,5943900
409,5750100
410,7584600
411,5839100
412,5689600
413,6104400
414,11201800
415,5678000
416,5642500
417,5636600
418,6825400
419,6407300
420,6006500
421,5590100
422,5707900
423,5812400
424,5656800
425,5901300
426,5586400
427,5670000
428,5707800
429,5995000
430,6115200
431,5625800
432,5873600
433,5739700
434,5733500
435,5607100
436,5801500
437,5987200
438,5589400
439,5663400
440,5859900
