Test,Time
1,2646100
2,1993200
3,1982800
4,1970800
5,1984200
6,1972400
7,2129800
8,1991000
9,2026100
10,2046000
11,2303300
12,2007700
13,1976200
14,2205900
15,1973900
16,2172900
17,1978000
18,2095700
19,1981200
20,2017600
21,2065700
22,2101700
23,2168200
24,1971300
25,2071800
26,2002400
27,2181800
28,1987000
29,1975200
30,1973400
31,1975200
32,2028200
33,1977900
34,2134000
35,2000800
36,2027000
37,1974600
38,1973400
39,1975600
40,1973100
41,1974700
42,2161600
43,1979200
44,2160600
45,1971500
46,1972600
47,2222800
48,2111800
49,2151300
50,1984600
51,1972700
52,2109700
53,2169300
54,2235200
55,2080100
56,2125000
57,1971200
58,1971200
59,2093200
60,1971500
61,1980800
62,2048800
63,2078700
64,2151000
65,1995200
66,1970300
67,1972700
68,2181300
69,1984300
70,2177800
71,2149100
72,2164700
73,1993200
74,1970800
75,2338500
76,2185400
77,2125000
78,2251400
79,2163400
80,1973800
81,2084800
82,2136500
83,1989700
84,2009000
85,1988600
86,1977700
87,2008500
88,1973900
89,2113400
90,2169200
91,2016700
92,2142800
93,2087800
94,2156100
95,1988200
96,1988900
97,1980700
98,1985300
99,1978900
100,2111300
101,2155700
102,1974300
103,2037200
104,1974600
105,2141800
106,1974300
107,2064500
108,2119300
109,1974700
110,2010200
111,1987000
112,1974400
113,2001700
114,1996400
115,2129100
116,2095000
117,1997000
118,2018500
119,2064300
120,1976100
121,1987500
122,2024800
123,2192400
124,2143700
125,2174600
126,1977300
127,1974000
128,2186800
129,1986900
130,1973800
131,2238200
132,1975500
133,1975700
134,2135000
135,2000800
136,1988500
137,2081800
138,2092500
139,2120400
140,1983700
141,1974600
142,2189800
143,1975100
144,1971700
145,2066900
146,2238200
147,1976800
148,2006900
149,1974800
150,1972300
151,1977800
152,1973400
153,2072200
154,1975600
155,1984900
156,1974000
157,1973200
158,2128700
159,1974400
160,2048900
161,2211400
162,2158600
163,1972300
164,1973800
165,1996400
166,1978400
167,1973700
168,1971900
169,2208000
170,1981800
171,1973400
172,1973700
173,2142700
174,1975600
175,1974100
176,1975500
177,2136200
178,1985900
179,1973400
180,1995000
181,1974800
182,2000100
183,1987400
184,2124500
185,1976200
186,1974300
187,2072300
188,1984300
189,2176800
190,1973700
191,1976200
192,1975300
193,1975300
194,1973500
195,2289100
196,1977200
197,1993800
198,1976900
199,2076000
200,2145500
201,1996400
202,2053200
203,1977700
204,2284300
205,1994900
206,2119900
207,1975300
208,2172000
209,1974100
210,1976800
211,2148000
212,1998500
213,1978300
214,2145400
215,2169800
216,2018400
217,2242400
218,1978800
219,2026800
220,1976300
221,1972500
222,2175500
223,2021100
224,1981500
225,2097100
226,1983200
227,1975900
228,1976700
229,1978200
230,1974700
231,2058700
232,2112800
233,1984700
234,1973100
235,1977900
236,2115000
237,1973100
238,1985900
239,1970900
240,1992000
241,2183900
242,2022000
243,2074100
244,2152100
245,1974700
246,2022400
247,1973900
248,2159300
249,1981800
250,2018300
251,1977500
252,1974900
253,1974500
254,2048500
255,1976900
256,1973900
257,2021900
258,1975700
259,2142100
260,2189600
261,1979300
262,2171900
263,2171400
264,1971400
265,2027000
266,1993000
267,1990000
268,2005400
269,1976500
270,2083200
271,2167200
272,2011400
273,1982100
274,1983600
275,1991600
276,1992700
277,2096300
278,2147400
279,2198500
280,1978400
281,1976100
282,1972300
283,2004600
284,1973100
285,2132500
286,1974400
287,1975500
288,2054100
289,2143500
290,1975000
291,1980600
292,2084800
293,2159600
294,1975200
295,2118900
296,1977400
297,2140500
298,1978600
299,2154300
300,2001700
301,1974600
302,1976400
303,2060100
304,2141900
305,1990900
306,2039400
307,1992900
308,1978300
309,1972900
310,2040200
311,1973700
312,1972900
313,1986400
314,1972500
315,2003600
316,2180000
317,1973500
318,2068900
319,1974700
320,1978300
321,1973300
322,1973700
323,1979400
324,1991000
325,1975900
326,1974000
327,1975700
328,1973800
329,1976500
330,2019800
331,2126700
332,2182400
333,1979000
334,1985600
335,1977500
336,2181400
337,2050900
338,2211200
339,2006500
340,1981700
341,1989200
342,2140200
343,1974300
344,2035200
345,2063000
346,2128100
347,2141600
348,1976900
349,2246100
350,2142400
351,1971500
352,1972200
353,1973000
354,2335100
355,2014800
356,2113800
357,1974600
358,1995700
359,2010600
360,2108900
361,1975200
362,1986200
363,2053600
364,1970900
365,2051200
366,2085400
367,2074000
368,2271900
369,1972500
370,1977300
371,1972900
372,1974900
373,1975400
374,1978200
375,2081600
376,1973900
377,1983600
378,1975300
379,1973900
380,2145100
381,2176400
382,1989200
383,1974800
384,1987400
385,1990400
386,1976700
387,1981200
388,2327800
389,1973400
390,2141300
391,1979800
392,1976100
393,1993300
394,1974000
395,1972200
396,2175800
397,2042600
398,2081200
399,2163300
400,1975600
401,1974300
402,2079300
403,1975300
404,1974700
405,1973900
406,1980000
407,1989900
408,1991700
409,1998100
410,1971500
411,2184800
412,8672600
413,3062700
414,2357600
415,1999000
416,2005900
417,2134100
418,2161700
419,1975300
420,1973900
421,1974300
422,1972100
423,1988900
424,1973400
425,2139200
426,1971700
427,2052200
428,1972300
429,2157200
430,2235300
431,1993300
432,2150500
433,1979000
434,2007600
435,2084700
436,1980400
437,1976000
438,2011600
439,2067500
440,2262500
441,2026800
442,2064100
443,2090200
444,2142600
445,1978300
446,1974200
447,2394700
448,2171000
449,1977700
450,1978400
451,1973500
452,1976600
453,1978600
454,2091800
455,2125700
456,1972700
457,1975000
458,2092200
459,1975800
460,1973200
461,1973500
462,2121800
463,2175300
464,2015500
465,2068800
466,2152900
467,1990400
468,2053600
469,1989300
470,2152600
471,1972400
472,2015500
473,1982300
474,1978300
475,1975700
476,1979400
477,2249700
478,1975200
479,2024800
480,1979500
481,1975400
482,1971900
483,2001700
484,1980500
485,1993600
486,1984100
487,1982900
488,2002400
489,1974800
490,2219600
491,2024400
492,1977900
493,2129100
494,1996400
495,1977400
496,2118200
497,1972300
498,2001500
499,2022800
500,2204100
501,2153100
502,1995000
503,1976200
504,1972400
505,2180500
506,1997300
507,1973900
508,1984100
509,2152300
510,2006700
511,2208500
512,2128600
513,2194400
514,2046900
515,1980000
516,1974100
517,2008700
518,1974300
519,2102100
520,2185700
521,1990700
522,1987100
523,2134200
524,2010200
525,2006500
526,1973200
527,1977700
528,1978200
529,1972300
530,1987300
531,1975800
532,2015000
533,1977100
534,1977200
535,2160200
536,1979400
537,2115700
538,1983500
539,2163700
540,1972300
541,1972900
542,2107000
543,1973100
544,2075700
545,1972400
546,2268600
547,2160600
548,2088600
549,2108300
550,1971600
551,2007100
552,1993900
553,2224000
554,2164300
555,2006100
556,2031200
557,2031500
558,1980000
559,1977700
560,1974600
561,2112000
562,1979300
563,2030600
564,2083000
565,1972600
566,1972200
567,1974200
568,2061600
569,2138000
570,2019100
571,2028800
572,2080500
573,2134300
574,1982500
575,2066200
576,1974500
577,2139800
578,2020100
579,1975800
580,1972400
581,1989100
582,2013000
583,2059100
584,1973800
585,2172600
586,2007800
587,2000800
588,2008400
589,1974000
590,1982100
591,1972100
592,1973700
593,2009000
594,2000700
595,1976900
596,1984300
597,1974000
598,1984700
599,2207100
600,1975600
