Test,Time
1,538000
2,149700
3,146700
4,148500
5,148200
6,148300
7,145200
8,145900
9,148200
10,148100
11,145800
12,145900
13,148100
14,150300
15,146000
16,145900
17,148800
18,148500
19,150300
20,146500
21,148700
22,148600
23,149900
24,148000
25,146500
26,149100
27,148500
28,145900
29,298200
30,147900
31,146300
32,148000
33,153200
34,148500
35,145800
36,145800
37,147800
38,151500
39,145800
40,145800
41,148000
42,148400
43,157800
44,145900
45,148600
46,148900
47,148200
48,219900
49,147200
50,146500
51,148000
52,148100
53,148000
54,145900
55,148100
56,148300
57,146300
58,147800
59,148100
60,148100
61,147900
62,146500
63,148100
64,148400
65,148700
66,146400
67,145700
68,150200
69,149100
70,146300
71,146200
72,148400
73,150700
74,148800
75,146300
76,147700
77,148200
78,149800
79,146200
80,146200
81,147900
82,148400
83,148000
84,145800
85,148200
86,148800
87,146200
88,148500
89,148300
90,148200
91,148700
92,146100
93,150500
94,148100
95,147900
96,146100
97,146500
98,258100
99,145700
100,148600
101,148900
102,146500
103,315300
104,147900
105,146000
106,145800
107,150500
108,148500
109,145500
110,145500
111,147900
112,185600
113,148400
114,146300
115,146300
116,148100
117,152300
118,145900
119,146400
120,148600
121,148400
122,241800
123,148600
124,147100
125,145900
126,188900
127,175900
128,148200
129,148300
130,145600
131,148600
132,148500
133,148400
134,146700
135,146000
136,150200
137,148100
138,146100
139,146800
140,148600
141,155600
142,148000
143,146100
144,145800
145,148200
146,150000
147,146200
148,145800
149,147900
150,148500
151,147700
152,145800
153,147900
154,148300
155,146800
156,233800
157,146600
158,145900
159,147800
160,148100
161,148500
162,146700
163,148700
164,148700
165,146800
166,289300
167,149100
168,146100
169,146300
170,150200
171,148700
172,146700
173,146400
174,148000
175,150400
176,145900
177,146500
178,148400
179,148000
180,149800
181,146000
182,148100
183,149100
184,148000
185,200100
186,145800
187,145800
188,147800
189,148300
190,150200
191,145700
192,148200
193,148400
194,145900
195,148400
196,148300
197,148200
198,148200
199,146600
200,149800
201,148600
202,148500
203,146400
204,145800
