Test,Time
1,235900
2,7700
3,7600
4,7400
5,7400
6,7500
7,7500
8,9500
9,7600
10,7600
11,7500
12,7400
13,7400
14,7300
15,7300
16,7600
17,7300
18,7400
19,7400
20,7600
21,7400
22,9700
23,7400
24,7600
25,7400
26,7400
27,7400
28,7300
29,7400
30,7400
31,7300
32,7500
33,7600
34,7400
35,7400
36,9700
37,7600
38,7600
39,7500
40,7500
41,7600
42,7400
43,7600
44,7600
45,7400
46,7600
47,7600
48,7500
49,7600
50,9600
51,7500
52,7400
53,7500
54,7400
55,7400
56,7500
57,7400
58,7400
59,7400
60,7400
61,7500
62,7700
63,7600
64,7500
65,7400
66,7400
67,7400
68,7400
69,7500
70,7400
71,11200
72,7900
73,7500
74,7500
75,7500
76,7300
77,7600
78,7600
79,7300
80,7600
81,7400
82,7400
83,7500
84,7500
85,7400
86,7500
87,7400
88,7600
89,7400
90,7400
91,7400
92,7500
93,7400
94,7600
95,7400
96,7400
97,7400
98,7400
99,7500
100,7500
101,7400
102,7400
103,7500
104,7400
105,7300
106,7400
107,7400
108,7400
109,7600
110,9500
111,7400
112,7400
113,7400
114,7500
115,7400
116,7300
117,7400
118,7500
119,7600
120,7400
121,7400
122,7400
123,7400
124,7400
125,7400
126,7300
127,7600
128,7300
129,7500
130,7600
131,7400
132,7500
133,7600
134,7400
135,7600
136,7300
137,7400
138,7400
139,7400
140,7500
141,7400
142,10600
143,7600
144,7400
145,7500
146,7600
147,7300
148,7400
149,7400
150,7600
151,7400
152,7600
153,7300
154,7500
155,7400
156,7600
157,7600
158,7400
159,7400
160,7400
161,7400
162,7500
163,7400
164,7400
165,7500
166,7600
167,7500
168,7400
169,7300
170,7400
171,7400
172,7500
173,7400
174,7400
175,10000
176,7500
177,7400
178,7700
179,9700
180,7300
181,7600
182,7300
183,7300
184,7500
185,7500
186,7300
187,7600
188,7500
189,8100
190,7400
191,7500
192,7400
193,7400
194,7400
195,7600
196,7500
197,7600
198,7500
199,7400
200,7500
201,7600
202,9700
203,7500
204,7600
205,7600
206,7500
207,7500
208,7400
209,7500
210,7400
211,7600
212,7400
213,7500
214,7300
215,7500
216,7500
217,7600
218,7500
219,7400
220,7400
221,7600
222,7600
223,7400
224,7600
225,7600
226,7400
227,7400
228,7400
229,7500
230,7400
231,7300
232,7500
233,7300
234,7400
235,7500
236,7400
237,7400
238,7500
239,9700
240,7400
241,7400
242,7400
243,7400
244,7500
245,7500
246,7500
247,7400
248,7400
249,7400
250,7400
251,7500
252,7400
253,7400
254,7400
255,7500
256,7400
257,7400
258,7600
259,7600
260,7600
261,7600
262,7500
263,7500
264,7400
265,7500
266,7600
267,7300
268,7600
269,7500
270,7300
271,7600
272,7400
273,7500
274,7600
275,7400
276,7500
277,7300
278,7400
279,7300
280,7300
281,7600
282,7400
283,7500
284,25700
285,7300
286,7400
287,7600
288,7400
289,9400
290,7400
291,7600
292,7500
293,7600
294,7400
295,7500
296,7300
297,7300
298,7400
299,7400
300,7500
301,7600
302,7500
303,7500
304,7400
305,7600
306,7500
307,7400
308,7400
309,7600
310,7500
311,7600
312,7500
313,7600
314,7400
315,7600
316,7500
317,7400
318,7500
319,7600
320,7400
321,7400
322,7400
323,7300
324,7400
325,7500
326,7500
327,7500
328,7400
329,7400
330,9700
331,7400
332,7300
333,7300
334,7400
335,7600
336,21200
337,7400
338,7500
339,7600
340,7600
341,7700
342,17000
343,7600
344,7600
345,7600
346,7500
347,7400
348,7400
349,7400
350,7600
351,7500
352,7600
353,7600
354,7400
355,7500
356,7500
357,7400
358,7500
359,7400
360,7600
361,9700
362,7500
363,7600
364,7500
365,7400
366,7600
367,7500
368,7600
369,7400
370,7500
371,7400
372,7400
373,7400
374,7400
375,7500
376,7700
377,7500
378,7300
379,7400
380,7400
381,7400
382,7500
383,7600
384,9700
385,7600
386,7600
387,7600
388,7500
389,7400
390,7500
391,7600
392,7600
393,9900
394,7400
395,7500
396,7400
397,7600
398,7600
399,7600
400,7600
401,7500
402,7500
403,7500
404,7400
405,7500
406,7500
407,7400
408,7500
409,7400
410,7600
411,7500
412,7400
413,7600
414,7400
415,7400
416,7500
417,7300
418,7600
419,7400
420,7400
421,7500
422,10700
423,7500
424,7500
425,9500
426,7400
427,7500
428,7500
429,7600
430,7600
431,7400
432,7300
433,7500
434,7600
435,7600
436,7600
437,7500
438,7400
439,7500
440,25700
441,25700
442,15900
443,7400
444,7500
445,7400
446,7600
447,7400
448,7600
449,7500
450,7400
451,7400
452,7400
453,7300
454,7400
455,7400
456,25700
457,7400
458,7400
459,7600
460,9800
461,7500
462,7600
463,7500
464,7400
465,7600
466,7500
467,7400
468,7500
469,7400
470,7500
471,7400
472,7600
473,7600
474,13500
475,7400
476,7400
477,7400
478,7600
479,7400
480,7500
481,7500
482,7600
483,7500
484,7600
485,7400
486,7500
487,7400
488,7400
489,7500
490,10300
491,7600
492,7400
493,7400
494,7500
495,7500
496,9400
497,7600
498,7300
499,7600
500,7400
501,7400
502,7600
503,7400
504,7300
505,7300
506,7500
507,7500
508,7400
509,7500
510,7400
511,7500
512,7600
513,7400
514,7600
515,7500
516,7600
517,7500
518,7400
519,9700
520,7600
521,7500
522,7800
523,7500
524,7400
525,7500
526,7400
527,7500
528,7600
529,7600
530,7800
531,7600
532,7500
533,7600
534,7500
535,7600
536,7500
537,7400
538,7600
539,7400
540,7600
541,7600
542,9400
543,10100
544,7600
545,7600
546,7600
547,7400
548,7400
549,7400
550,7400
551,7400
552,7600
553,7400
554,7500
555,7300
556,7600
557,7400
558,7400
559,7600
560,7600
561,11500
562,12300
563,7700
564,10400
565,7400
566,7500
567,7600
568,7800
569,7600
570,7400
571,7400
572,7300
573,7600
574,7600
575,7600
576,7400
577,7600
578,7400
579,7400
580,7400
581,7400
582,7600
583,7400
584,7500
585,7400
586,7500
587,7600
588,7400
589,7400
590,7600
591,7300
592,7600
593,7400
594,7400
595,7400
596,9500
597,7500
598,7700
599,7400
600,7400
