Test,Time
1,3771800
2,3508800
3,3821100
4,3391300
5,3550300
6,3390700
7,3505700
8,3470600
9,3387000
10,3590500
11,3535900
12,3595400
13,3505400
14,3567300
15,3499400
16,3656900
17,3415200
18,3723600
19,3430300
20,3386500
21,3389900
22,3518900
23,3803400
24,3482400
25,3384900
26,3511900
27,3726400
28,3696100
29,3728300
30,3631200
31,3825100
32,3385800
33,3520700
34,3586800
35,3489700
36,3775200
37,3492300
38,3382700
39,3506000
40,3559800
41,3491100
42,3654000
43,3811700
44,3677300
45,3401800
46,3381400
47,3567800
48,3461500
49,3917900
50,3443000
51,3560200
52,3402900
53,3399400
54,3575500
55,3396400
56,3578400
57,3533800
58,3539500
59,3385500
60,3590400
61,3449800
62,3405000
63,3418400
64,3389200
65,3550200
66,3380400
67,3575600
68,3382300
69,3625900
70,3419500
71,3390800
72,3384800
73,3517400
74,3601300
75,3465500
76,3786400
77,3457800
78,3636200
79,3392700
80,3390700
81,3381900
82,3502300
83,3387800
84,3392000
85,3511800
86,3429200
87,3557100
88,3625000
89,3460600
90,3406700
91,3652100
92,3610700
93,3486900
94,3757600
95,3456700
96,3549700
97,3386500
98,3503700
99,3589900
100,3459300
101,3397000
102,3398100
103,3539900
104,3479100
105,3384300
106,3407800
107,3503900
108,3387500
109,3400200
110,3388100
111,3423100
112,3539200
113,3419000
114,3496100
115,3441100
116,3376500
117,3580600
118,3438500
119,3572600
120,3513300
121,3375500
122,3456100
123,3637200
124,3480500
125,3383300
126,3400100
127,3535300
128,3602100
129,3504300
130,3387800
131,3429000
132,3677000
133,5381500
134,3408100
135,3400700
136,3415300
137,3506300
138,3398400
139,3395000
140,3731300
141,3425200
142,3466900
143,3414100
144,3386100
145,3379800
146,3473100
147,3389100
148,3466800
149,3516900
150,3571900
151,3518600
152,3400000
153,3471800
154,3397800
155,3483300
156,3382400
157,3641600
158,3567200
159,3606600
160,3551200
161,3663300
162,3504600
163,3921500
164,3430700
165,3490800
166,3414200
167,3517900
168,3412200
169,3399500
170,3609200
171,3386600
172,3554000
173,3455500
174,3392500
175,3418200
176,3542600
177,3678100
178,3531400
179,3429900
180,3514800
181,3405900
182,3412600
183,3451400
184,3427100
185,3416200
186,3401900
187,3379100
188,3386400
189,3407100
190,3379300
191,3582100
192,3506400
193,3517100
194,3752700
195,3390000
196,3376000
197,3585400
198,3413900
199,3528700
200,3619900
201,3387800
202,3412200
203,3773300
204,3384300
205,3604100
206,3379500
207,3523700
208,3557900
209,3387400
210,3521400
211,3408000
212,3823400
213,3391400
214,3472900
215,3585900
216,3375400
217,3760300
218,3478300
219,3894600
220,3399300
221,3485500
222,3409200
223,3498700
224,3768600
225,3488300
226,3518800
227,3438500
228,3392600
229,3381900
230,3598100
231,3568800
232,3396900
233,3942700
234,3395300
235,3840900
236,3526000
237,3394000
238,3388700
239,3508000
240,3585200
241,3393300
242,3687600
243,3425500
244,3547400
245,3410600
246,3416700
247,3608900
248,3417600
249,3518000
250,3432200
251,3387400
252,3384000
253,3490800
254,3389300
255,3448200
256,3407600
257,3412300
258,3636600
259,3403700
260,3523800
261,3415500
262,3494100
263,3403500
264,3436800
265,3529400
266,3426400
267,3390100
268,3408400
269,3530800
270,3550700
271,3380500
272,3384700
273,3400900
274,3546400
275,3418300
276,3607200
277,3384000
278,3512000
279,3564100
280,3467800
281,3765500
282,3568100
283,3527700
284,3443600
285,3383700
286,3623300
287,3394900
288,3377400
289,3597300
290,3388000
291,3383500
292,3383200
293,3410800
294,3552700
295,3402000
296,3394200
297,3633400
298,3456900
299,3710900
300,3397700
301,3555100
302,3637900
303,3734100
304,3391600
305,3475100
306,3748400
307,3469800
308,3735100
309,3382200
310,3536200
311,3392200
312,3559800
313,3612300
314,3505900
315,3608200
316,3492100
317,3551500
318,3554500
319,3401100
320,3532800
321,3717300
322,3405700
323,3547800
324,3468300
325,3400900
326,3422500
327,3502700
328,3382800
329,3517900
330,3380100
331,3408300
332,3549700
333,3398100
334,3505700
335,3416400
336,3397900
337,3749300
338,3439200
339,3586200
340,3513000
341,3566800
342,3384600
343,3591800
344,3423800
345,3503600
346,3367200
347,3580400
348,3454400
349,3456900
350,3557600
351,3469100
352,3525600
353,3652000
354,3616200
355,3577500
356,3527900
357,3395000
358,3457000
359,3384500
360,3474900
361,3421400
362,3571600
363,3407800
364,3562800
365,3386500
366,3774100
367,3405800
368,3508900
369,3432700
370,3678100
371,3382900
372,3502200
373,3569900
374,3450300
375,3394300
376,3401800
377,3385000
378,3436400
379,3511700
380,3604700
381,3391700
382,3561500
383,3442200
384,3585800
385,3445500
386,3563800
387,3451600
388,3675000
389,3617100
390,3551400
391,3391300
392,3508300
393,3567800
394,3480700
395,3389900
396,3560400
397,3679800
398,3406000
399,3390700
400,3563500
401,3438500
402,3601500
403,3401600
404,3392400
405,3429800
406,3402500
407,3425600
408,3454000
409,3398600
410,3429800
411,3526800
412,3390800
413,3524100
414,3415700
415,3517800
416,3384200
417,3383800
418,3421000
419,3731200
420,3508100
421,3409200
422,3386200
423,3400300
424,3515800
425,3596800
426,3380500
427,3450100
428,3552100
429,3567300
430,3585900
431,3767900
432,3453100
433,3513600
434,3416100
435,3533100
436,3709700
437,3383100
438,3609000
439,3508500
440,3412500
441,3403100
442,3567500
443,3495400
444,3408900
445,3660600
446,3555100
447,3427800
448,3529200
449,3565500
450,3385700
451,3567500
452,3461400
453,3514200
454,3446900
455,3495700
456,3433600
457,3483500
458,3617300
459,3385900
460,3612000
461,3385800
462,3385100
463,3606500
464,3407300
465,3427300
466,3471300
467,3422200
468,3414900
469,3571800
470,3388900
471,3520100
472,3476800
473,3384700
474,3346100
475,3395200
476,3742800
477,3385900
478,3686100
479,3461500
480,3507400
481,3625200
482,3559100
483,3411100
484,3547000
485,3582500
486,3432300
487,3561300
488,3384400
489,3656500
490,3453400
491,3389600
492,3385000
493,11166800
494,12587800
495,3488500
496,4045200
497,5271500
498,3398700
499,3382700
500,3385400
501,3384300
502,3400700
503,3529100
504,3410100
505,3385100
506,3405800
507,3402600
508,3427500
509,3398000
510,3402300
511,3399400
512,3664300
513,3683100
514,3404600
515,3399800
516,3416400
517,3402600
518,3407100
519,3419900
520,3398200
521,3392100
522,3792900
523,3413100
524,3483800
525,3435200
526,3391800
527,3402600
528,3450600
529,4244300
530,3376000
531,3683000
532,3571900
533,3396600
534,3457100
535,3386800
536,3426000
537,3382100
538,3556200
539,3404900
540,3458700
541,3407500
542,3395200
543,3795100
544,3380700
545,3625900
546,3402900
547,3374900
548,3494300
549,3404400
550,3468600
551,3416000
552,3606900
553,3379900
554,3423000
555,3375100
556,3377100
557,3650900
558,3518100
559,3388900
560,3385100
561,3415900
562,3857300
563,3549400
564,3540500
565,3396900
566,3575600
567,3660200
568,3490800
569,3801600
570,3414900
571,3396400
572,3381100
573,3398600
574,3494500
575,3621500
576,3397700
577,3765700
578,3488000
579,3570300
580,5049400
581,3366000
582,3370800
583,3608100
584,3483300
585,3506400
586,3651500
587,3529500
588,3396000
589,3516800
590,3596200
591,3439100
592,3568400
593,3399200
594,3561900
595,3387000
596,3387900
597,3665200
598,3504900
599,3399200
600,3504900
