Test,Time
1,428900
2,13100
3,15800
4,13200
5,13100
6,12800
7,12800
8,12900
9,13000
10,13000
11,12800
12,12800
13,12800
14,12800
15,12800
16,13100
17,12800
18,12800
19,14500
20,15500
21,13000
22,12800
23,13000
24,12800
25,13100
26,12800
27,12800
28,12800
29,12800
30,12800
31,12800
32,13000
33,12800
34,12800
35,12800
36,59700
37,13100
38,13000
39,13100
40,13000
41,13000
42,13000
43,12900
44,12800
45,13000
46,13000
47,12900
48,13000
49,13000
50,12900
51,12800
52,12900
53,12900
54,12800
55,12800
56,13000
57,15200
58,12800
59,12800
60,12800
61,12800
62,13200
63,12800
64,13000
65,12900
66,12800
67,12800
68,12900
69,12900
70,12800
71,12900
72,12800
73,12800
74,12800
75,12900
76,12800
77,12800
78,15100
79,12800
80,12800
81,12800
82,12900
83,75100
84,13000
85,12800
86,13100
87,12800
88,12800
89,13000
90,12800
91,12800
92,12800
93,12800
94,12800
95,12800
96,12900
97,12800
98,12800
99,12800
100,12800
101,12800
102,15200
103,12900
104,13000
105,12800
106,12800
107,12900
108,12900
109,12800
110,12900
111,12800
112,12900
113,13000
114,13000
115,13000
116,13000
117,13000
118,12800
119,13100
120,13000
121,14600
122,13000
123,13100
124,13000
125,13000
126,12900
127,15300
128,13100
129,13000
130,12900
131,12900
132,13300
133,13000
134,13100
135,13000
136,13100
137,13100
138,12900
139,13000
140,12900
141,13000
142,13000
143,13000
144,12900
145,13000
146,12800
147,12800
148,13000
149,12800
150,12900
151,12800
152,15400
153,12800
154,12800
155,12900
156,12800
157,12900
158,12800
159,12800
160,12900
161,12900
162,12700
163,12800
164,12900
165,12800
166,12800
167,12800
168,12800
169,12900
170,12800
171,12900
172,12900
173,15100
174,13000
175,12800
176,12800
177,12800
178,12800
179,12800
180,12800
181,12800
182,12900
183,12800
184,12800
185,12800
186,12800
187,12800
188,12800
189,12900
190,12800
191,12800
192,12800
193,12800
194,15100
195,12800
196,12800
197,12800
198,12900
199,12900
200,12800
201,13000
202,12900
203,12900
204,12800
205,12800
206,12800
207,12800
208,12800
209,12800
210,12800
211,13100
212,12900
213,12800
214,12800
215,12800
216,12800
217,13000
218,13000
219,15000
220,12900
221,13100
222,12900
223,12900
224,12700
225,12900
226,13000
227,13000
228,13000
229,12800
230,12700
231,13000
232,13100
233,13000
234,13000
235,12800
236,13000
237,13100
238,13100
239,13000
240,15400
241,13000
242,13000
243,13000
244,13000
245,13000
246,13000
247,13100
248,13000
249,12900
250,13000
251,13000
252,12900
253,13000
254,13000
255,12900
256,13000
257,13000
258,13000
259,12800
260,13000
261,13000
262,12900
263,13000
264,13000
265,15300
266,13000
267,12700
268,13000
269,13000
270,13000
271,13000
272,12900
273,12900
274,74900
275,12900
276,13000
277,13100
278,12900
279,13000
280,13000
281,13100
282,13000
283,13100
284,13000
285,13100
286,13100
287,13100
288,13000
289,15000
290,12800
291,12800
292,12800
293,12900
294,12800
295,12800
296,12900
297,12900
298,12800
299,12900
300,12800
301,13000
302,12900
303,12800
304,12800
305,54400
306,13100
307,13100
308,13200
309,13100
310,13000
311,12900
312,13000
313,13000
314,13100
315,13000
316,13100
317,13100
318,13000
319,12900
320,42000
321,12800
322,12800
323,12800
324,12900
325,12800
326,12800
327,12900
328,12800
329,13000
330,12800
331,12900
332,12700
333,13000
334,12800
335,12800
336,12800
337,12800
338,15100
339,12800
340,12800
341,12900
342,15100
343,12800
344,12900
345,12800
346,12800
347,12800
348,13000
349,12800
350,12900
351,12800
352,74900
353,35200
354,12900
355,12900
356,12800
357,12800
358,12800
359,12900
360,12800
361,12800
362,12800
363,12800
364,12800
365,12800
366,40200
367,13000
368,13000
369,12900
370,13000
371,13100
372,13000
373,13100
374,12900
375,12900
376,13000
377,13000
378,13100
379,13100
380,13000
381,13200
382,13000
383,13000
384,12800
385,13100
386,15000
387,13100
388,13000
389,12800
390,12900
391,13000
392,13000
393,13000
394,12900
395,12800
396,13000
397,13000
398,42200
399,13100
400,13000
401,12900
402,13000
403,13100
404,13000
405,13000
406,13000
407,12900
408,13100
409,13000
410,12800
411,13000
412,13000
413,15500
414,12800
415,12900
416,13000
417,12900
418,13100
419,13100
420,12800
421,13300
422,12900
423,15100
424,12900
425,12800
426,13000
427,12800
428,12900
429,15400
430,13000
431,13100
432,13000
433,13000
434,13200
435,12800
436,13000
437,12800
438,13000
439,13100
440,13000
441,13100
442,13100
443,13000
444,15100
445,15600
446,13000
447,12800
448,12800
449,12900
450,12800
451,12800
452,12900
453,12800
454,12800
455,12900
456,12800
457,12900
458,12900
459,12800
460,12900
461,15400
462,12900
463,12900
464,12900
465,12800
466,12900
467,12900
468,12800
469,15200
470,12800
471,12800
472,12900
473,12800
474,12900
475,12900
476,12900
477,16000
478,13000
479,13200
480,13000
481,13000
482,13100
483,13100
484,13000
485,13100
486,13100
487,13100
488,13000
489,12900
490,13100
491,13100
492,12800
493,16000
494,15200
495,12800
496,12800
497,12900
498,12900
499,12800
500,12800
501,12900
502,12800
503,12900
504,12800
505,12800
506,12800
507,12900
508,12800
509,52100
510,18200
511,13000
512,13000
513,13000
514,15200
515,13000
516,13000
517,13000
518,13000
519,13100
520,12900
521,13000
522,13200
523,12900
524,13100
525,12800
526,12900
527,12800
528,12800
529,12800
530,13100
531,12900
532,12800
533,13000
534,12800
535,15100
536,12800
537,12800
538,12800
539,12800
540,32800
541,75200
542,13200
543,12900
544,12900
545,13000
546,15200
547,12800
548,13000
549,12800
550,12800
551,12800
552,12800
553,12900
554,12800
555,12800
556,12800
557,12800
558,12900
559,12800
560,12800
561,12900
562,12800
563,13000
564,12800
565,12900
566,12900
567,15100
568,12800
569,12800
570,12900
571,25300
572,12900
573,13000
574,13000
575,15100
576,12800
577,12800
578,12800
579,12800
580,12800
581,12800
582,12800
583,12800
584,13000
585,12800
586,12800
587,48100
588,13100
589,12800
590,13000
591,13000
592,13000
593,13100
594,13100
595,13000
596,13000
597,13100
598,12900
599,13000
600,13100
