Test,Time
1,5480700
2,5152900
3,5048800
4,4971300
5,5143200
6,4982200
7,5037000
8,4860100
9,5001300
10,4876500
11,4961400
12,4834700
13,5005800
14,4864400
15,4819300
16,4974300
17,4896500
18,4843200
19,4926200
20,4841800
21,4927800
22,4843000
23,5318200
24,5039600
25,5143400
26,4890000
27,4974700
28,4899700
29,5366900
30,4982800
31,4848000
32,5166300
33,5099600
34,4914800
35,4835400
36,4874900
37,4984300
38,5068100
39,4822300
40,5187400
41,5287000
42,5136400
43,4857000
44,4981600
45,5090100
46,4978600
47,4930000
48,4862900
49,5111700
50,4968400
51,5322600
52,5228000
53,4970100
54,5015500
55,5036100
56,4946600
57,5040100
58,4937000
59,5260700
60,5086800
61,5054500
62,5085400
63,5045900
64,5012100
65,4825400
66,4924400
67,4943500
68,4852300
69,5065600
70,5147800
71,5114200
72,5153900
73,4943000
74,5023500
75,4958300
76,5218900
77,5006200
78,5027700
79,5209900
80,5115000
81,4879400
82,5032100
83,5934100
84,4950300
85,4989000
86,5232800
87,5026600
88,4991800
89,5234500
90,4970000
91,4911800
92,5283600
93,4874800
94,4912300
95,4983800
96,5023100
97,5245500
98,5187000
99,5105800
100,5019300
101,5111400
102,4937400
103,4935000
104,5412400
105,5053600
106,4885200
107,4968900
108,5117100
109,5093300
110,5023000
111,5122000
112,4992200
113,5113700
114,5027100
115,5058500
116,5123400
117,5113900
118,5045000
119,4964600
120,4869600
121,4940800
122,4941500
123,5256000
124,4920200
125,4898900
126,4863100
127,4925800
128,4885900
129,5010800
130,4852300
131,4900100
132,5252700
133,4992100
134,5046900
135,5204800
136,4848300
137,4836600
138,5059400
139,4915000
140,4982300
141,4885600
142,4855400
143,4905000
144,4976300
145,4877300
146,4934800
147,5206400
148,5007500
149,4867500
150,5073000
151,4981100
152,4865100
153,5190600
154,5026900
155,5270200
156,5157400
157,5029800
158,5052800
159,5096700
160,4931800
161,5213000
162,5010600
163,5157900
164,4844600
165,4990500
166,5124800
167,5016300
168,5074700
169,5055000
170,4973500
171,4904800
172,4988800
173,4904100
174,4980500
175,4968900
176,4831000
177,4813700
178,4972700
179,5014000
180,5050800
181,5039900
182,4855400
183,5054000
184,4993200
185,5137100
186,5116900
187,4928200
188,4911800
189,4832400
190,4957100
191,4998800
192,4970200
193,5120000
194,4834500
195,4873600
196,4907500
197,5072900
198,4925900
199,4875700
200,4866900
201,5058200
202,5004900
203,5205800
204,5102800
205,5001700
206,4989400
207,4932800
208,4973400
209,4894500
210,5063200
211,5181600
212,5287300
213,4909400
214,5053900
215,4885600
216,4859300
217,4862800
218,4890500
219,5007200
220,5061800
221,4910400
222,4885400
223,4922100
224,4892900
