Test,Time
1,214300
2,18300
3,18200
4,17700
5,17500
6,17900
7,18400
8,17400
9,17300
10,17500
11,18100
12,17700
13,17400
14,17700
15,17500
16,18000
17,17400
18,17800
19,17300
20,17400
21,20000
22,17700
23,17500
24,17700
25,17700
26,17400
27,17900
28,17200
29,17700
30,17700
31,17300
32,17500
33,17600
34,17600
35,17200
36,17700
37,60700
38,17400
39,17600
40,17400
41,17200
42,17900
43,17700
44,17500
45,17500
46,17500
47,17600
48,17800
49,17500
50,17400
51,19500
52,18800
53,17100
54,17000
55,17000
56,16800
57,17200
58,16800
59,16900
60,16800
61,16800
62,11300
63,7100
64,17100
65,16900
66,10300
67,9000
68,7600
69,8900
70,60600
71,12300
72,10000
73,8400
74,7200
75,5900
76,17000
77,11300
78,9800
79,8700
80,7200
81,5600
82,17100
83,10800
84,3600
85,3500
86,4200
87,3500
88,3400
89,3300
90,3400
91,3400
92,3400
93,82900
94,3500
95,3400
96,3400
97,3400
98,3400
99,4400
100,3400
101,3400
102,3400
103,3400
104,3400
105,3400
106,4100
107,3400
108,3400
109,3500
110,3400
111,3400
112,3700
113,4000
114,3400
115,3400
116,3400
117,3400
118,3400
119,3400
120,3900
121,3400
122,3400
123,3400
124,3500
125,3400
126,3400
127,4100
128,4200
129,3500
130,3400
131,3500
132,3400
133,3400
134,4100
135,3400
136,3500
137,3500
138,3400
139,3400
140,4300
141,3500
142,3400
143,3500
144,3400
145,3400
146,3400
147,4200
148,3400
149,3400
150,3400
151,3400
152,3400
153,3500
154,3900
155,3400
156,3400
157,3400
158,3400
159,3500
160,3400
161,4200
162,3400
163,3400
164,3500
165,3400
166,3400
167,3400
168,4000
169,3400
170,3500
171,3500
172,3400
173,3400
174,3400
175,52800
176,5700
177,3400
178,3600
179,3400
180,3400
181,4300
182,3400
183,3400
184,3400
185,3400
186,3500
187,3500
188,4400
189,3500
190,3400
191,15100
192,3500
193,3400
194,3400
195,36700
196,3500
197,3400
198,3300
199,3500
200,6300
201,5800
202,44200
203,5900
204,5800
205,6000
206,6000
207,5900
208,6000
209,43600
210,5900
211,6000
212,6000
213,6000
214,6100
215,5900
216,49600
217,3500
218,3300
219,3400
220,3400
221,3300
222,4300
223,3300
224,3400
225,3400
226,3400
227,3400
228,3400
229,4200
230,3400
231,3400
232,3400
233,3400
234,3300
235,3300
236,90700
237,3500
238,3300
239,3300
240,3300
241,3300
242,3300
243,107300
244,3500
245,3500
246,3500
247,3400
248,3400
249,3400
250,41500
251,3500
252,3400
253,3400
254,3300
255,3400
256,4100
257,31500
258,3400
259,3400
260,3400
261,3400
262,3400
263,4400
264,3400
265,3400
266,3400
267,3400
268,3400
269,3300
270,4100
271,3400
272,3300
273,3400
274,3400
275,3300
276,3300
277,25800
278,3500
279,3400
280,3400
281,3400
282,3300
283,3400
284,37500
285,3500
286,3400
287,3300
288,3300
289,3400
290,3400
291,29100
292,3400
293,3400
294,3400
295,3400
296,3300
297,3400
298,28100
299,3400
300,3300
301,3400
302,3400
303,3400
304,4300
305,3400
306,3300
307,3400
308,3300
309,3400
310,3400
311,4200
312,3400
313,3300
314,3500
315,3400
316,3400
317,6100
318,4500
319,3400
320,3300
321,3400
322,3300
323,3400
324,3400
325,28000
326,3400
327,3500
328,3400
329,1100
330,1000
331,1000
332,1900
333,1400
334,1600
335,1400
336,1400
337,1400
338,1500
339,1500
340,1600
341,1400
342,1400
343,3400
344,1900
345,2200
346,1400
347,1500
348,1400
349,1400
350,1500
351,1600
352,1500
353,1500
354,1500
355,1500
356,1500
357,1600
358,1500
359,1500
360,1600
361,1400
362,1600
363,1500
364,1500
365,1500
366,1500
367,1600
368,1500
369,1600
370,1600
371,1500
372,1700
373,1600
374,1600
375,1500
376,1500
377,1500
378,1500
379,1500
380,1500
381,1600
382,1600
383,1500
384,3300
385,1600
386,1500
387,1600
388,1600
389,1500
390,1500
391,1600
392,1600
393,1600
394,1600
395,1600
396,1600
397,1600
398,1600
399,1500
400,1500
401,1600
402,1500
403,1800
404,1500
405,1600
406,1500
407,1600
408,1500
409,1600
410,1500
411,1600
412,1400
413,1600
414,1600
415,1600
416,1600
417,1400
418,1600
419,1500
420,1400
421,1500
422,1400
423,1500
424,1600
425,1400
426,1500
427,1400
428,1500
429,1500
430,1500
431,1600
432,1500
433,1600
434,1500
435,1600
436,1500
437,1400
438,1500
439,1500
440,1500
441,1500
442,1400
443,1400
444,1400
445,1500
446,1600
447,1500
448,1500
449,1500
450,1500
451,1500
452,1600
453,1500
454,1500
455,1500
456,1600
457,1600
458,1600
459,1600
460,1500
461,1700
462,1500
463,1700
464,1500
465,1500
466,1600
467,1200
468,1000
469,1000
470,1000
471,1000
472,1000
473,1000
474,900
475,1000
476,900
477,900
478,1000
479,1000
480,900
481,900
482,900
483,900
484,900
485,1000
486,1000
487,1000
488,1000
489,900
490,900
491,900
492,900
493,900
494,800
495,900
496,900
497,800
498,900
499,800
500,900
501,900
502,800
503,900
504,900
505,900
506,900
507,900
508,900
509,800
510,900
511,1000
512,33600
513,1100
514,1000
515,1000
516,900
517,900
518,800
519,800
520,800
521,800
522,800
523,800
524,800
525,900
526,900
527,900
528,800
529,800
530,800
531,700
532,800
533,800
534,900
535,800
536,900
537,800
538,800
539,800
540,800
541,800
542,900
543,900
544,900
545,800
546,800
547,900
548,800
549,900
550,900
551,800
552,800
553,900
554,900
555,900
556,800
557,900
558,800
559,800
560,800
561,900
562,900
563,800
564,800
565,800
566,900
567,900
568,1000
569,1000
570,1000
571,900
572,800
573,900
574,900
575,800
576,800
577,800
578,900
579,800
580,800
581,900
582,800
583,900
584,800
585,900
586,800
587,800
588,800
589,800
590,800
591,800
592,800
593,800
594,900
595,700
596,700
597,900
598,800
599,800
600,900
