Test,Time
1,3093300
2,825100
3,824600
4,824400
5,775500
6,365300
7,362700
8,359400
9,358700
10,360800
11,358000
12,278200
13,276100
14,275900
15,277300
16,275400
17,294200
18,277300
19,276100
20,275500
21,275300
22,275600
23,275500
24,275900
25,288600
26,276600
27,276200
28,276200
29,276300
30,275900
31,277300
32,275700
33,275400
34,277500
35,276400
36,276100
37,280000
38,275300
39,275600
40,277500
41,275500
42,275600
43,277200
44,275500
45,276000
46,277400
47,275700
48,275900
49,278400
50,275500
51,275500
52,277700
53,276000
54,275800
55,275400
56,275400
57,275700
58,275400
59,277600
60,275800
61,275800
62,277800
63,275900
64,275700
65,277600
66,275600
67,275400
68,277800
69,275600
70,275300
71,278000
72,275400
73,275400
74,277000
75,275300
76,275600
77,276800
78,276300
79,276200
80,275900
81,275600
82,275500
83,276200
84,286000
85,275400
86,276200
87,277100
88,275600
89,275400
90,277500
91,276400
92,276100
93,277300
94,275500
95,275500
96,277800
97,275400
98,275700
99,276900
100,275400
101,275900
102,276000
103,277700
104,275800
105,276100
106,278000
107,275900
108,276000
109,277100
110,275500
111,275900
112,277300
113,275400
114,275500
115,277700
116,275800
117,275400
118,275800
119,258500
120,261100
121,263800
122,276100
123,276400
124,276300
125,278100
126,276000
127,288100
128,276100
129,275900
130,276100
131,279800
132,275100
133,275300
134,277700
135,275300
136,275400
137,277100
138,275500
139,276200
140,277600
141,276100
142,275300
143,275800
144,276200
145,276200
146,276000
147,277700
148,275200
149,275400
150,277200
151,275400
152,275300
153,277100
154,275500
155,275400
156,277300
157,275300
158,275300
159,275700
160,275700
161,275700
162,275700
163,277300
164,276000
165,275200
166,279200
167,283900
168,271000
169,272600
170,270600
171,270600
172,272500
173,269600
174,280200
175,278000
176,276300
177,275900
178,286300
179,275500
180,275400
181,280400
182,275200
183,275600
184,276900
185,275400
186,275500
187,275600
188,275600
189,275500
190,275200
191,278300
192,276600
193,276000
194,277600
195,275900
196,276100
197,277800
198,275800
199,275500
200,277500
201,276300
202,276100
203,276100
204,278100
205,276400
206,275400
207,277300
208,275900
209,276000
210,278000
211,276200
212,275500
213,276300
214,276800
215,275600
216,275600
217,275700
218,275600
219,275800
220,278200
221,276300
222,275500
223,277700
224,275700
225,275800
226,276100
227,286400
228,275700
229,275200
230,278200
231,275800
232,275600
233,278000
234,275800
235,275700
236,275500
237,276900
238,275500
239,275500
240,277800
241,276100
242,276000
243,277900
244,275700
245,275900
246,275700
247,277900
248,275300
249,275700
250,277800
251,276300
252,275700
253,277700
254,276100
255,276700
256,278300
257,276800
258,276600
259,278300
260,275600
261,275900
262,276000
263,323800
264,276800
265,275700
266,277900
267,275600
268,275600
269,277400
270,275100
271,275500
272,275600
273,277600
274,275800
275,276000
276,288600
277,275300
278,275300
279,278000
280,275300
281,275300
282,275500
283,277700
284,275800
285,275400
286,277400
287,275400
288,275600
289,275600
290,277500
291,275800
292,275600
293,280000
294,275500
295,275600
296,277800
297,275200
298,275400
299,275800
300,277500
301,275400
302,275600
303,277200
304,275400
305,275600
306,275800
307,277000
308,276200
309,276000
310,277700
311,275500
312,275500
313,275400
314,276700
315,275800
316,275800
317,276900
318,275700
319,275100
320,277300
321,275500
322,275800
323,275700
324,276900
325,275900
326,275500
327,285600
328,275700
329,275900
330,277600
331,275600
332,275900
333,275800
334,277900
335,276000
336,275200
337,277500
338,275700
339,275700
340,275500
341,277200
342,276100
343,275900
344,277400
345,275200
346,275900
347,275900
348,277800
349,275800
350,275800
351,277300
352,275800
353,275800
354,275700
355,277600
356,275700
357,275900
358,277600
359,275500
360,275900
361,276000
362,277600
363,275700
364,275900
365,309100
366,277600
367,277900
368,278100
369,275500
370,275500
371,275600
372,277800
373,275300
374,275600
375,277100
376,275500
377,275700
378,275300
379,288900
380,275400
381,275200
382,277900
383,275900
384,275800
385,277500
386,276100
387,275900
388,275500
389,277000
390,275800
391,275300
392,277200
393,275100
394,275300
395,276200
396,277500
397,275900
398,275900
399,277500
400,275700
401,275200
402,275900
403,277000
404,276000
405,275600
406,277600
407,275400
408,275400
409,275900
410,277700
411,276100
412,276200
413,277700
414,275100
415,275800
416,276200
417,277900
418,275300
419,276100
420,277300
421,275500
422,275800
423,276000
424,277300
425,275200
426,276100
427,277000
428,276200
429,275900
430,275400
431,279600
432,276000
433,275600
434,277600
435,276500
436,275200
437,276200
438,277700
439,275600
440,275900
441,278000
442,275300
443,276200
444,276200
445,278100
446,275900
447,275800
448,277500
449,275600
450,276400
451,276100
452,277700
