Test,Time
1,2857700
2,685300
3,679300
4,680200
5,682000
6,678700
7,681100
8,1085100
9,1263700
10,762400
11,206000
12,194900
13,178800
14,177700
15,178500
16,182100
17,178400
18,177700
19,178400
20,180600
21,178400
22,177600
23,178300
24,177700
25,206700
26,195100
27,191600
28,180500
29,185000
30,177800
31,178600
32,177800
33,180800
34,177800
35,178500
36,178400
37,184400
38,181700
39,178700
40,184200
41,196000
42,199200
43,196000
44,195800
45,195600
46,199100
47,195600
48,199700
49,195500
50,199000
51,196300
52,195500
53,196000
54,198300
55,209000
56,195700
57,196000
58,198700
59,196500
60,195800
61,195800
62,198400
63,196700
64,196200
65,196100
66,199200
67,196300
68,196000
69,200700
70,195800
71,202500
72,203800
73,196500
74,196300
75,196000
76,207000
77,198900
78,195800
79,202900
80,196200
81,202900
82,196500
83,198800
84,196000
85,196000
86,196100
87,268000
88,196100
89,196100
90,195800
91,195900
92,196100
93,196200
94,196400
95,198400
96,195800
97,195800
98,195900
99,198600
100,195900
101,196000
102,196100
103,198400
104,195700
105,196000
106,195700
107,196000
108,195700
109,195700
110,196100
111,195800
112,198200
113,196100
114,196100
115,196200
116,198400
117,195900
118,199100
119,195600
120,198000
121,196100
122,195800
123,215600
124,206100
125,196300
126,203000
127,196400
128,199000
129,196300
130,196000
131,196600
132,199000
133,195900
134,195800
135,196300
136,195600
137,198300
138,195800
139,196000
140,196200
141,200400
142,196100
143,196100
144,196400
145,198700
146,196200
147,195800
148,195700
149,195900
150,196500
151,195800
152,195900
153,196100
154,195400
155,196100
156,195500
157,196300
158,197700
159,195700
160,196100
161,195700
162,197800
163,195400
164,196100
165,195800
166,196100
167,195800
168,195600
169,195900
170,196300
171,195800
172,195700
173,195900
174,196300
175,198100
176,196000
177,196100
178,195800
179,198500
180,196200
181,196000
182,196000
183,195700
184,196400
185,196100
186,195900
187,196000
188,198200
189,195900
190,196100
191,210900
192,198500
193,196100
194,195600
195,195600
196,198100
197,195900
198,195800
199,196600
200,195700
201,195800
202,195700
203,195200
204,195700
205,207200
206,196200
207,195900
208,196100
209,199500
210,196000
211,196300
212,196200
213,196200
214,210500
215,195900
216,195800
217,195800
218,198100
219,195900
220,195800
221,195800
222,198200
223,196300
224,195900
225,195700
226,195600
227,197800
228,195800
229,196700
230,195800
231,199100
232,196200
233,196200
234,195700
235,196000
236,198200
237,195900
238,196100
239,195800
240,195900
241,196000
242,195800
243,195600
244,195700
245,197900
246,195700
247,196200
248,196300
249,198000
250,196300
251,196000
252,195600
253,195900
254,198000
255,195800
256,196000
257,196400
258,198300
259,196200
260,195600
261,195600
262,198200
263,196000
264,196000
265,195800
266,195900
267,198000
268,195900
269,196100
270,195700
271,195800
272,199900
273,195800
274,195700
275,195800
276,198300
277,195600
278,195600
279,195900
280,195600
281,225200
282,195700
283,196400
284,195600
285,195600
286,198300
287,195800
288,196100
289,195800
290,198000
291,196000
292,196000
293,196200
294,196000
295,198000
296,195500
297,196300
298,196200
299,195600
300,197800
301,196100
302,196100
303,196400
304,198200
305,195600
306,195900
307,195700
308,195800
309,198300
310,195600
311,196100
312,195800
313,195900
314,198300
315,195300
316,195700
317,195900
318,198500
319,196100
320,195700
321,196300
322,195800
323,198300
324,196300
325,195600
326,195600
327,196000
328,198300
329,195800
330,195600
331,195800
332,198400
333,196000
334,195700
335,195900
336,196000
337,198200
338,196000
339,195700
340,195800
341,196000
342,198100
343,196100
344,196000
345,196100
346,195600
347,200300
348,195900
349,195400
350,195700
351,216700
352,196500
353,196300
354,197500
355,195600
356,198500
357,195700
358,196000
359,195300
360,195900
361,198800
362,195800
363,195700
364,195900
365,196000
366,195700
367,196200
368,195500
369,195500
370,198300
371,195600
372,196100
373,196000
374,195600
375,198000
376,195500
377,195900
378,195900
379,195500
380,198700
381,195900
382,195500
383,195900
384,196000
385,197900
386,195800
387,196000
388,195800
389,198300
390,195800
391,195900
392,196100
393,197200
394,198200
395,196000
396,196200
397,195400
398,195600
399,198000
400,195600
401,195500
402,196900
403,195800
404,197600
405,195300
406,195600
407,195700
408,196100
409,197900
410,195600
411,196000
412,195900
413,195500
414,198200
415,195700
416,196000
417,195600
418,195800
419,196100
420,196100
421,195600
422,195800
423,220400
424,196000
425,196000
426,195700
427,196100
428,198100
429,196300
430,195800
431,195800
432,196200
433,197500
434,195900
435,195700
436,196000
437,195800
438,197800
439,195500
440,195800
441,196000
442,195800
443,195800
444,195900
445,195700
446,195900
447,198300
448,195900
449,195400
450,195800
451,195900
452,198100
453,196200
454,196100
455,195800
456,198200
457,196000
458,195700
459,196100
460,195400
461,197900
462,196000
463,195900
464,195900
465,195800
466,197900
467,196000
468,195900
469,195800
470,195700
471,198300
472,195600
473,195700
474,195700
475,196200
476,197600
477,196000
478,195600
479,195600
480,195600
481,197900
482,195900
483,195800
484,195800
485,195900
486,198100
487,195500
488,195600
489,195900
490,195500
491,199900
492,196000
493,195800
494,196000
495,195700
496,203700
497,195800
498,196400
499,196300
500,198500
501,195900
502,195700
503,195600
504,195800
505,198200
506,195500
507,195600
508,195700
509,196200
510,198400
511,195800
512,195900
513,196400
514,198800
515,195600
516,196000
517,195900
518,196000
519,198200
520,196400
521,197000
522,196100
523,195900
524,198900
525,195800
526,195500
527,196100
528,196100
529,198600
530,196300
531,196300
532,196000
533,195900
534,198200
535,195700
536,195900
537,196500
538,195900
539,198600
540,196600
541,195900
542,195900
543,195900
544,198200
545,196100
546,196400
547,196200
548,196100
549,198200
550,195900
551,195300
552,195700
553,197700
554,196000
555,196000
556,196100
557,195800
558,198400
559,196900
560,196200
561,196200
562,195700
563,208200
564,195700
565,195800
566,196000
567,195700
568,206000
569,196000
570,195800
571,196400
572,196000
573,198200
574,196000
575,196000
576,195800
577,195900
578,198000
579,195900
580,196000
581,196100
582,196000
583,198000
584,195600
585,195700
586,195700
587,196000
588,198000
589,195900
590,195800
591,195700
592,195900
593,197900
594,195700
595,195800
596,195700
597,196000
598,197900
599,195600
600,196200
