Test,Time
1,645600
2,168500
3,164500
4,163800
5,169600
6,166700
7,166100
8,162500
9,163100
10,161200
11,163500
12,124100
13,118300
14,118200
15,37100
16,38700
17,35000
18,33700
19,33600
20,33400
21,32000
22,38300
23,34100
24,32300
25,33100
26,32400
27,36700
28,460500
29,35500
30,33700
31,33400
32,32500
33,32800
34,36200
35,33100
36,32000
37,49000
38,34400
39,33800
40,32100
41,33400
42,32200
43,31200
44,32200
45,31900
46,35800
47,32100
48,31600
49,32900
50,31000
51,32700
52,32400
53,31900
54,31900
55,31500
56,31500
57,31800
58,31000
59,35200
60,32400
61,32100
62,32400
63,32600
64,32200
65,32100
66,32200
67,34500
68,87600
69,43300
70,48500
71,33300
72,32500
73,33200
74,59600
75,65300
76,38600
77,35100
78,34000
79,33100
80,31800
81,32800
82,44600
83,52100
84,45300
85,60500
86,70400
87,69100
88,68500
89,67600
90,102500
91,68800
92,67300
93,67000
94,68000
95,66400
96,69200
97,68500
98,98500
99,68800
100,68000
101,89300
102,68100
103,54300
104,58000
105,82200
106,59100
107,58700
108,57800
109,44100
110,32800
111,31600
112,31300
113,32100
114,31900
115,32100
116,76500
117,30600
118,36000
119,31500
120,77400
121,38600
122,34900
123,34300
124,33100
125,31600
126,32200
127,31900
128,32000
129,31800
130,34300
131,47700
132,30700
133,31400
134,32000
135,69200
136,34200
137,32900
138,32200
139,32100
140,30500
141,31200
142,48400
143,36500
144,31600
145,31100
146,31100
147,30700
148,30900
149,31000
150,58300
151,35700
152,35800
153,34400
154,32800
155,48200
156,36100
157,79500
158,36700
159,42900
160,32400
161,47700
162,30300
163,113900
164,88200
165,81700
166,60700
167,36400
168,79200
169,32700
170,35000
171,34200
172,47100
173,59200
174,35700
175,57000
176,34500
177,32500
178,59200
179,45100
180,32600
181,33100
182,32400
183,31300
184,31600
185,32300
186,31200
187,49600
188,35400
189,31900
190,31200
191,47000
192,31600
193,31500
194,46400
195,31900
196,31400
197,31200
198,30500
199,29800
200,31200
201,87100
202,70800
203,103000
204,35800
205,90700
206,34800
207,35600
208,63800
209,51000
210,35300
211,57500
212,33300
213,59000
214,34400
215,34500
216,68800
217,35900
218,35000
219,77800
220,35000
221,52100
222,33900
223,64800
224,64000
225,32900
226,46500
227,32400
228,47500
229,58200
230,64100
231,47800
232,53000
233,34700
234,47800
235,32800
236,34100
237,57300
238,35200
239,48500
240,63800
241,34800
242,57900
243,32700
244,31500
245,49700
246,44700
247,31900
248,77300
249,47700
250,69200
251,49200
252,79000
253,129800
254,78700
255,38700
256,67600
257,86400
258,79600
259,45900
260,117200
261,133900
262,61400
263,63500
264,95100
265,35300
266,84100
267,62200
268,85700
269,102900
270,60100
271,82600
272,92500
273,38200
274,55300
275,34900
276,49200
277,55400
278,67800
279,36900
280,35000
281,33400
282,53100
283,45800
284,32400
285,60700
286,46000
287,58600
288,30700
289,31500
290,48900
291,42300
292,44500
293,50400
294,44200
295,65300
296,35100
297,66800
298,64400
299,35800
300,34200
301,56800
302,32200
303,63300
304,35900
305,34300
306,102000
307,66500
308,64000
309,144500
310,37300
311,64900
312,36200
313,58200
314,77300
315,62000
316,61300
317,77800
318,42300
319,142700
320,73600
321,39900
322,89800
323,36700
324,60300
325,34700
326,35800
327,55400
328,49200
329,63900
330,114100
331,55000
332,64400
333,34900
334,34500
335,63600
336,32700
337,32000
338,66800
339,52100
340,55900
341,35600
342,51300
343,86200
344,37800
345,43800
346,79400
347,34000
348,51400
349,53800
350,46600
351,48200
352,47100
353,45500
354,73100
355,33900
356,69400
357,61500
358,34300
359,51100
360,46300
361,55600
362,31000
363,32000
364,60600
365,44600
366,45600
367,48900
368,31800
369,71400
370,31100
371,31400
372,70100
373,31400
374,66800
375,69400
376,37000
377,55300
378,34400
379,57400
380,55500
381,48200
382,47200
383,75800
384,39700
385,51800
386,34800
387,32000
388,50400
389,31700
390,31000
391,65200
392,31800
393,50700
394,47400
395,45000
396,44600
397,31700
398,44000
399,53200
400,44600
401,85800
402,62000
403,32800
404,50700
405,31100
406,55500
407,34000
408,59000
409,57100
410,32200
411,45600
412,73700
413,39600
414,52800
415,32000
416,49100
417,124500
418,55700
419,104600
420,85800
421,32000
422,55400
423,80400
424,32200
425,68000
426,42500
427,32100
428,63100
429,31000
430,46100
431,44900
432,42400
433,49000
434,31300
435,53100
436,76700
437,38900
438,81200
439,46100
440,38000
441,51200
442,29500
443,28100
444,26000
445,25000
446,40200
447,23900
448,23100
449,22800
450,35400
451,21200
452,21900
453,48900
454,43700
455,39400
456,24100
457,23300
458,22300
459,21100
460,21700
461,51300
462,22900
463,36400
464,33000
465,25200
466,20600
467,20700
468,39200
469,21000
470,34500
