Test,Time
1,2882900
2,933200
3,920000
4,924400
5,651800
6,510800
7,511300
8,511600
9,506600
10,508900
11,466400
12,445800
13,477400
14,447000
15,449000
16,447400
17,447900
18,445600
19,448900
20,445200
21,447800
22,444900
23,447400
24,449200
25,450200
26,448000
27,450700
28,448600
29,461000
30,450300
31,448600
32,448500
33,448900
34,448800
35,446400
36,447600
37,452200
38,444000
39,453300
40,446900
41,478600
42,451400
43,448300
44,444000
45,452100
46,446100
47,447700
48,446300
49,447800
50,443600
51,449900
52,446600
53,449200
54,446300
55,445200
56,448600
57,447100
58,448700
59,460100
60,447800
61,448800
62,450400
63,450400
64,448800
65,446500
66,445400
67,447600
68,445900
69,449400
70,444300
71,528400
72,446700
73,445000
74,449500
75,449100
76,447700
77,454800
78,451600
79,448300
80,449300
81,448700
82,445100
83,448100
84,446100
85,444900
86,445400
87,448300
88,446000
89,450200
90,448900
91,446500
92,444400
93,475200
94,576900
95,621700
96,544700
97,501100
98,446900
99,475500
100,450200
101,451600
102,449900
103,450300
104,447800
105,451200
106,446800
107,447800
108,449800
109,451700
110,446000
111,448500
112,461600
113,448000
114,444000
115,446900
116,443900
117,448200
118,447600
119,451200
120,447900
121,447100
122,447600
123,449400
124,445900
125,450300
126,450200
127,448800
128,445800
129,485900
130,448100
131,450700
132,442400
133,448300
134,448800
135,449100
136,446200
137,449000
138,444400
139,450200
140,446400
141,451700
142,448600
143,448900
144,443700
145,448900
146,447700
147,447800
148,448500
149,457200
150,444500
151,451900
152,447600
153,446700
154,445400
155,445900
156,445700
157,443700
158,452800
159,446800
160,463900
161,448300
162,446200
163,447300
164,449200
165,445500
166,450600
167,446800
168,453200
169,448300
170,451700
171,450100
172,449700
173,448600
174,447100
175,446600
176,449100
177,447700
178,450100
179,446500
180,455900
181,446600
182,452700
183,450900
184,447400
185,445900
186,449900
187,447900
188,452200
189,446800
190,500200
191,461200
192,452500
193,446400
194,449500
195,448000
196,450200
197,446800
198,449500
199,449200
200,450100
201,449100
202,451100
203,442800
204,452100
205,446900
206,447900
207,447500
208,451700
209,450000
210,448300
211,448600
212,448200
213,449000
214,449100
215,444200
216,445500
217,451200
218,446300
219,446000
220,445600
221,484200
222,449500
223,450000
224,448700
225,446000
226,447800
227,450700
228,445000
229,449200
230,448800
231,450600
232,448700
233,448000
234,449100
235,451000
236,449600
237,451200
238,451400
239,449900
240,449800
241,447300
242,459600
243,445600
244,447100
245,451300
246,453300
247,448700
248,450200
249,447500
250,450800
251,443700
252,513700
253,496200
254,452700
255,446200
256,451200
257,446700
258,451900
259,446500
260,452100
261,444100
262,449400
263,449500
264,450700
265,451100
266,450200
267,446400
268,448300
269,450800
270,445000
271,446200
272,449200
273,449200
274,450200
275,448400
276,450900
277,448900
278,447400
279,450100
280,450200
281,449400
282,449600
283,498200
284,449300
285,449400
286,444100
287,451200
288,448300
289,453200
290,445100
291,449400
292,449600
293,449100
294,449700
295,448400
296,449100
297,450200
298,451200
299,448500
300,449900
301,450500
302,450700
303,445600
304,459000
305,445800
306,446200
307,447400
308,446500
309,447100
310,447400
311,446800
312,448400
313,451800
314,448000
315,514700
316,445300
317,448400
318,449400
319,450100
320,449400
321,448000
322,447700
323,446300
324,447500
325,447500
326,449700
327,449700
328,448700
329,447400
330,447800
331,446900
332,452000
333,451900
334,448900
335,445400
336,462600
337,445000
338,448400
339,446700
340,452200
341,450600
342,451000
343,448100
344,445500
345,448600
346,445200
347,464100
348,449900
349,450300
350,442900
351,448400
352,447900
353,452900
354,446900
355,452000
356,451100
357,448000
358,446800
359,446100
360,451300
361,447400
362,449600
363,450300
364,451000
365,449600
366,448300
367,448600
368,462600
369,447100
370,449100
371,448300
372,449100
373,449800
374,444000
375,449100
376,446700
377,450000
378,449000
379,479900
380,450800
381,452500
382,450400
383,452200
384,444400
385,444900
386,449700
387,449200
388,449500
389,450200
390,447600
391,451000
392,450000
393,443200
394,451100
395,445000
396,451400
397,445800
398,444900
399,446600
400,459900
401,448900
402,450300
403,447600
404,449700
405,450200
406,450100
407,452400
408,447300
409,449600
410,449200
411,466600
412,448800
413,450000
414,448400
415,452500
416,447900
417,450300
418,445600
419,448800
420,448200
421,449100
422,449000
423,446800
424,447200
425,447500
426,449100
427,449100
428,447800
429,449700
430,452300
431,451200
432,446300
433,450400
434,447200
435,448200
436,448400
437,449700
438,447900
439,453300
440,450000
441,454000
442,448100
443,446900
444,525800
445,445800
446,449000
447,447700
448,448300
449,450000
450,450000
451,449200
452,447800
453,448100
454,449500
455,445600
456,448500
457,447900
458,450000
459,448700
460,449200
461,443500
462,448300
463,451500
464,445400
465,451500
466,446500
467,449200
468,448500
469,450800
470,448100
471,448400
472,448000
473,449000
474,450400
475,446500
476,499000
477,447300
478,452200
479,446400
480,450100
481,448000
482,450700
483,451700
484,447000
485,450400
486,446200
487,451900
488,447500
489,451200
490,450100
491,450500
492,451100
493,452000
494,449200
495,450000
496,447200
