Test,Time
1,3451800
2,348100
3,347200
4,359300
5,349400
6,353700
7,347900
8,347000
9,349300
10,352600
11,166300
12,179500
13,161400
14,167500
15,157300
16,158800
17,159100
18,160700
19,201400
20,183000
21,159400
22,135700
23,135700
24,135900
25,135400
26,162700
27,192000
28,135900
29,135900
30,135500
31,138500
32,135400
33,135600
34,171800
35,135300
36,137800
37,135300
38,54200
39,54200
40,54000
41,53700
42,53900
43,56600
44,68400
45,54100
46,54000
47,53700
48,53600
49,53600
50,53600
51,53500
52,53700
53,53600
54,56500
55,53500
56,53700
57,53600
58,53600
59,53700
60,53600
61,53700
62,53600
63,54100
64,53600
65,53600
66,53500
67,53700
68,53500
69,53500
70,53600
71,53500
72,53500
73,53600
74,53500
75,53600
76,53500
77,53600
78,55100
79,54200
80,62900
81,54200
82,54800
83,53800
84,57800
85,53900
86,54600
87,53700
88,53800
89,53800
90,53800
91,53700
92,53600
93,53500
94,55900
95,53500
96,53600
97,53600
98,53500
99,53500
100,53600
101,53600
102,53500
103,53600
104,53700
105,53600
106,53600
107,53600
108,53600
109,53700
110,53700
111,54200
112,53600
113,53600
114,53600
115,53700
116,53700
117,53700
118,53600
119,53600
120,53700
121,53600
122,53600
123,53500
124,53600
125,53900
126,56000
127,54100
128,53900
129,53700
130,53600
131,53700
132,53600
133,53600
134,53600
135,53600
136,53500
137,53500
138,53500
139,53500
140,53500
141,53500
142,53600
143,53500
144,53600
145,53500
146,53600
147,53600
148,53400
149,53500
150,53600
151,53600
152,53600
153,53500
154,53500
155,53500
156,53700
157,53600
158,53500
159,53500
160,53500
161,53500
162,53600
163,53500
164,53500
165,53500
166,53500
167,53600
168,53800
169,115600
170,61500
171,65200
172,62400
173,61700
174,61000
175,63600
176,63000
177,63100
178,62000
179,65500
180,69800
181,69200
182,70100
183,70400
184,67900
185,68600
186,69800
187,66100
188,68900
189,68500
190,70500
191,86800
192,67400
193,53800
194,53800
195,53600
196,53500
197,53600
198,53700
199,53500
200,56100
201,53500
202,53600
203,53500
204,53700
205,53700
206,67600
207,65000
208,57100
209,54500
210,59400
211,53700
212,53700
213,53600
214,53500
215,53500
216,53500
217,54500
218,54200
219,54100
220,53800
221,53700
222,53600
223,53600
224,53500
225,53500
226,53500
227,53500
228,53600
229,54200
230,53400
231,53400
232,53500
233,53600
234,53500
235,53400
236,53400
237,53500
238,53500
239,53500
240,53500
241,53500
242,53400
243,53400
244,53400
245,53600
246,53500
247,53600
248,53400
249,53600
250,53500
251,53600
252,53400
253,53600
254,53400
255,53700
256,53600
257,57000
258,54000
259,53700
260,53700
261,53700
262,53500
263,53500
264,53600
265,53600
266,53500
267,53400
268,53500
269,53500
270,56200
271,53500
272,53500
273,53400
274,53500
275,53500
276,53400
277,53700
278,53400
279,53500
280,54500
281,53400
282,53500
283,53400
284,56200
285,53400
286,53600
