Test,Time
1,440400
2,47300
3,39400
4,40200
5,37800
6,36900
7,37000
8,36400
9,36600
10,37700
11,36100
12,36600
13,36700
14,36700
15,36100
16,47200
17,37600
18,37100
19,38500
20,36700
21,36700
22,36700
23,35800
24,36300
25,35700
26,36300
27,36200
28,36500
29,36500
30,36100
31,36100
32,36000
33,36500
34,35900
35,36200
36,35700
37,36100
38,36300
39,36500
40,36300
41,35900
42,36500
43,36800
44,36400
45,36900
46,39700
47,27000
48,25700
49,23300
50,22800
51,22600
52,21500
53,21200
54,22000
55,20400
56,20200
57,21200
58,20300
59,25000
60,24300
61,24400
62,22800
63,22300
64,21400
65,21000
66,21800
67,20500
68,20500
69,20400
70,20700
71,20500
72,20400
73,20500
74,20200
75,20100
76,19500
77,20000
78,19700
79,19800
80,20200
81,19200
82,19900
83,19300
84,19900
85,19500
86,20100
87,20100
88,19400
89,22000
90,19600
91,20200
92,19700
93,20500
94,19900
95,19500
96,21200
97,19300
98,18900
99,18900
100,19800
101,19000
102,18900
103,19900
104,19000
105,18900
106,21000
107,18800
108,19000
109,18900
110,19500
111,19500
112,19700
113,19100
114,19000
115,19100
116,19000
117,19200
118,19600
119,19500
120,19400
121,19000
122,19800
123,19100
124,18900
125,19000
126,19800
127,19100
128,19600
129,20000
130,19800
131,18900
132,19600
133,20100
134,18900
135,19700
136,19100
137,18700
138,19800
139,19500
140,19200
141,19400
142,19500
143,18900
144,18800
145,19100
146,18800
147,19300
148,18600
149,18400
150,18700
151,18500
152,18800
153,19400
154,19400
155,19400
156,19000
157,18900
158,18800
159,18700
160,19200
161,19000
162,18700
163,19700
164,18500
165,19400
166,19300
167,19300
168,18900
169,19000
170,20800
171,21200
172,20600
173,20600
174,19600
175,20500
176,19600
177,20000
178,19400
179,19900
180,19900
181,19000
182,19100
183,18800
184,20200
185,20200
186,20000
187,19200
188,19300
189,20200
190,19300
191,22400
192,20400
193,19900
194,19600
195,19300
196,19600
197,29900
198,19000
199,18700
200,19500
201,18500
202,19100
203,18900
204,18700
205,36100
206,29500
207,28100
208,25100
209,23200
210,21100
211,20600
212,19700
213,19800
214,19000
215,18600
216,18300
217,17900
218,17800
219,17300
220,17600
221,17200
222,17300
223,17000
224,18000
225,17100
226,17000
227,16900
228,16300
229,16200
230,16500
231,16500
232,16100
233,16300
234,15900
235,16200
236,15700
237,15600
238,15600
239,15400
240,15800
241,15900
242,16000
243,15600
244,15700
245,15500
246,15500
247,15700
248,15200
249,18400
250,15800
251,15500
252,15400
253,16700
254,16300
255,17400
256,16400
257,19300
258,19700
259,18200
260,17600
261,16700
262,17000
263,16800
264,15900
265,15700
266,15600
267,15700
268,15400
269,15500
270,15400
271,14900
272,15600
273,15600
274,15700
275,15200
276,14900
277,15400
278,15000
279,15000
280,15000
281,14800
282,14900
283,15000
284,15200
285,14800
286,14600
287,14800
288,14600
289,14800
290,14500
291,17100
292,14800
293,14600
294,14800
295,14500
296,14900
297,14700
298,14600
299,14700
300,14500
301,14300
302,14900
303,14500
304,14900
305,14600
306,14500
307,14500
308,14300
309,14600
310,14600
311,14400
312,14600
313,14400
314,14400
315,14500
316,16700
317,14600
318,14200
319,26200
320,14600
321,15200
322,14600
323,14200
324,14800
325,14400
326,14400
327,14600
328,14300
329,14500
330,14300
331,14400
332,14500
333,14300
334,14300
335,14100
336,14600
337,14400
338,14300
339,14600
340,14400
341,14000
342,19200
343,14300
344,14400
345,14300
346,14200
347,14500
348,14000
349,14200
350,14300
351,13900
352,14400
353,13800
354,13600
355,13700
356,14000
357,14300
358,14100
359,13900
360,13900
361,14000
362,13500
363,13700
364,13900
365,13700
366,13500
367,13600
368,13900
369,13700
370,16600
371,14100
372,13800
373,14100
374,13700
375,13800
376,13500
377,13500
378,13700
379,13700
380,13600
381,14100
382,13700
383,14100
384,14100
385,14600
386,14300
387,13700
388,13700
389,13300
390,13500
391,13700
392,13400
393,13300
394,13500
395,13400
396,13400
397,13400
398,13200
399,13700
400,13300
401,12900
402,13600
403,13300
404,13300
405,13600
406,13100
407,13100
408,13400
409,13300
410,13300
411,13000
412,12900
413,13100
414,12900
415,12800
416,13100
417,12800
418,12700
419,13000
420,12900
421,13000
422,13100
423,12800
424,12900
425,13000
426,12900
427,13200
428,13000
429,12800
430,13100
431,12900
432,12900
433,13000
434,12800
435,12800
436,13500
437,13100
438,13200
439,13200
440,13200
441,13100
442,13600
443,14000
444,13300
445,13000
446,13400
447,13200
448,12800
449,13500
450,13500
451,13600
452,13400
453,13300
454,13300
455,13300
456,13100
457,13100
458,12900
459,13200
460,13000
461,13100
462,13000
463,12900
464,12800
465,15800
466,13000
467,12900
468,12900
469,12500
470,12600
471,13100
472,13000
473,13000
474,13200
475,12900
476,13100
477,12900
478,12800
479,12900
480,12800
481,12500
482,12900
483,13100
484,12800
485,13100
486,13200
487,12900
488,12800
489,12800
490,12500
491,12600
492,12500
493,12800
494,12900
495,12600
496,12800
497,12700
498,13100
499,13200
500,13000
501,15600
502,13800
503,13400
504,13400
505,13300
506,12800
507,12900
508,13000
509,12800
510,14000
511,16700
512,16400
513,16600
514,15600
515,15100
516,14400
517,14200
518,14300
519,13600
520,13500
521,13400
522,13100
523,12800
524,12900
525,13000
526,12600
527,12600
528,12600
529,12600
530,12400
531,12300
532,12100
533,12400
534,12300
535,12300
536,12500
537,12000
538,12500
539,12400
540,12300
541,12100
542,12000
543,12200
544,12000
545,12000
546,11900
547,12000
548,12000
549,12100
550,12000
551,12100
552,12100
553,12300
554,12300
555,12100
556,12200
557,12200
558,11900
559,12100
560,12200
561,12000
562,11900
563,12000
564,11900
565,11900
566,11900
567,11700
568,12000
569,12000
570,11800
571,11900
572,12100
573,11800
574,12000
575,11900
576,11900
577,11700
578,11900
579,11600
580,11700
581,11800
582,11800
583,11800
584,12100
585,11500
586,11600
587,11900
588,11700
589,11700
590,11900
591,11700
592,11600
593,12300
594,11900
595,11800
596,12100
597,11900
598,11900
599,11900
600,11800
