Test,Time
1,213900
2,10800
3,10000
4,10000
5,8800
6,9600
7,10000
8,9900
9,9700
10,12900
11,9900
12,9800
13,9500
14,8900
15,9800
16,9700
17,9600
18,9700
19,14100
20,12300
21,25900
22,27900
23,26500
24,29500
25,28400
26,37700
27,23700
28,25500
29,27500
30,9600
31,9700
32,9000
33,9600
34,9600
35,9500
36,9400
37,8900
38,9500
39,9900
40,9700
41,8900
42,9600
43,9600
44,9500
45,10200
46,9000
47,9900
48,9700
49,9600
50,9000
51,9700
52,9800
53,9700
54,10000
55,9500
56,9500
57,9600
58,9400
59,9200
60,9800
61,9900
62,9800
63,10200
64,9000
65,9600
66,9900
67,9700
68,8900
69,9500
70,9600
71,9700
72,9600
73,8900
74,9800
75,9800
76,9500
77,9600
78,9100
79,9700
80,9600
81,9700
82,9400
83,9800
84,9800
85,9900
86,9600
87,9000
88,9300
89,9900
90,19800
91,8900
92,14700
93,10000
94,10300
95,13400
96,30800
97,32300
98,32400
99,33100
100,33200
101,31900
102,17700
103,20800
104,32300
105,29700
106,7900
107,62300
108,22500
109,28000
110,8700
111,5300
112,10100
113,15300
114,8700
115,4900
116,5900
117,2800
118,2400
119,2400
120,2500
121,2500
122,4500
123,2500
124,2500
125,3200
126,2500
127,2800
128,3200
129,2500
130,2400
131,2500
132,2500
133,2500
134,2400
135,3400
136,2400
137,2400
138,2400
139,2400
140,2400
141,2400
142,2400
143,2400
144,2400
145,88900
146,2500
147,2500
148,2500
149,2400
150,2400
151,2500
152,2500
153,2500
154,2500
155,2500
156,3800
157,2400
158,2400
159,2500
160,2400
161,2400
162,2400
163,2400
164,2600
165,4300
166,3900
167,2800
168,2600
169,2400
170,3200
171,2600
172,2500
173,2400
174,2500
175,2500
176,3800
177,2500
178,2400
179,2400
180,2400
181,2400
182,2500
183,2400
184,2400
185,2400
186,3600
187,2500
188,2400
189,2500
190,2400
191,15000
192,2500
193,2400
194,2500
195,2400
196,2400
197,61400
198,2500
199,2400
200,2400
201,2400
202,2400
203,2400
204,2300
205,2500
206,2400
207,23200
208,2400
209,2400
210,2300
211,2400
212,2400
213,2500
214,2500
215,2400
216,2400
217,20200
218,2400
219,2400
220,2400
221,2400
222,2400
223,2300
224,2400
225,2500
226,2400
227,4200
228,41400
229,2500
230,2400
231,2400
232,2500
233,2400
234,2400
235,3300
236,2500
237,2400
238,23400
239,2400
240,2400
241,2400
242,2400
243,2400
244,2400
245,2400
246,2400
247,2400
248,18800
249,2400
250,2400
251,2400
252,2500
253,2500
254,2400
255,2600
256,3200
257,2400
258,32700
259,2600
260,2600
261,2400
262,2500
263,4200
264,2500
265,2400
266,2400
267,2400
268,2400
269,31900
270,2400
271,2400
272,2400
273,2400
274,2700
275,3000
276,3100
277,3500
278,3300
279,47300
280,4200
281,3800
282,3700
283,4000
284,4200
285,4000
286,4600
287,4500
288,3900
289,34200
290,2500
291,900
292,800
293,600
294,700
295,700
296,600
297,700
298,700
299,700
300,600
301,700
302,700
303,600
304,700
305,600
306,700
307,700
308,700
309,700
310,700
311,700
312,700
313,600
314,700
315,600
316,700
317,600
318,700
319,600
320,600
321,700
322,700
323,700
324,600
325,700
326,700
327,700
328,700
329,600
330,700
331,700
332,700
333,600
334,600
335,600
336,700
337,700
338,700
339,700
340,600
341,700
342,600
343,700
344,700
345,700
346,700
347,800
348,600
349,600
350,600
351,700
352,700
353,700
354,700
355,700
356,700
357,600
358,600
359,600
360,600
361,700
362,600
363,600
364,700
365,600
366,600
367,700
368,700
369,700
370,700
371,600
372,800
373,700
374,700
375,700
376,700
377,700
378,600
379,700
380,800
381,700
382,700
383,700
384,1400
385,800
386,700
387,700
388,700
389,700
390,800
391,700
392,700
393,700
394,800
395,600
396,600
397,600
398,700
399,600
400,600
401,700
402,700
403,700
404,700
405,600
406,800
407,700
408,600
409,700
410,700
411,600
412,800
413,700
414,700
415,800
416,600
417,600
418,600
419,700
420,700
421,1000
422,700
423,600
424,800
425,600
426,700
427,700
428,600
429,600
430,1100
431,800
432,700
433,600
434,700
435,700
436,700
437,600
438,700
439,600
440,600
441,600
442,600
443,600
444,600
445,600
446,700
447,600
448,600
449,600
450,700
451,700
452,700
453,600
454,800
455,700
456,700
457,700
458,700
459,700
460,700
461,600
462,700
463,700
464,600
465,900
466,700
467,700
468,700
469,1300
470,800
471,700
472,700
473,600
474,700
475,600
476,600
477,700
478,700
479,700
480,600
481,700
482,600
483,600
484,500
485,700
486,600
487,700
488,600
489,700
490,600
491,700
492,600
493,700
494,600
495,700
496,700
497,600
498,600
499,600
500,600
501,600
502,700
503,600
504,700
505,700
506,700
507,600
508,600
509,900
510,800
511,900
512,52700
513,800
514,700
515,700
516,700
517,700
518,700
519,600
520,600
521,600
522,600
523,700
524,600
525,700
526,600
527,600
528,600
529,700
530,600
531,600
532,700
533,600
534,600
535,600
536,600
537,600
538,600
539,600
540,600
541,3000
542,700
543,700
544,600
545,700
546,600
547,700
548,600
549,700
550,600
551,700
552,700
553,600
554,800
555,700
556,700
557,700
558,700
559,500
560,700
561,900
562,800
563,1200
564,1000
565,1100
566,1100
567,900
568,700
569,600
570,700
571,700
572,600
573,600
574,600
575,600
576,600
577,600
578,800
579,700
580,700
581,700
582,600
583,600
584,600
585,600
586,700
587,600
588,600
589,600
590,600
591,700
592,700
593,600
594,600
595,500
596,600
597,600
598,700
599,600
600,600
