Test,Time
1,3270600
2,789900
3,785200
4,800600
5,798500
6,815800
7,428500
8,139200
9,127400
10,122600
11,126500
12,131300
13,117000
14,114900
15,116500
16,116000
17,115500
18,118700
19,116300
20,114300
21,129900
22,128300
23,119800
24,118600
25,81100
26,80700
27,80300
28,80200
29,80000
30,110300
31,82600
32,80000
33,79900
34,80000
35,80300
36,79700
37,79800
38,79600
39,82400
40,79800
41,79800
42,79800
43,79800
44,79800
45,79700
46,79700
47,82000
48,80100
49,80100
50,79700
51,79800
52,79800
53,79700
54,79700
55,82200
56,88300
57,102600
58,80200
59,80100
60,79900
61,80600
62,82800
63,80200
64,79900
65,80000
66,80200
67,80400
68,79800
69,79700
70,82600
71,79900
72,80000
73,79800
74,79800
75,79800
76,79800
77,79800
78,79900
79,79800
80,79900
81,79700
82,79900
83,79800
84,79900
85,79800
86,82300
87,79900
88,79200
89,79800
90,79800
91,79800
92,79700
93,79700
94,79800
95,79900
96,79900
97,79100
98,79800
99,79900
100,79800
101,79900
102,79800
103,82000
104,79900
105,79800
106,79700
107,80300
108,79800
109,79800
110,79900
111,79700
112,79700
113,79900
114,79900
115,80100
116,79800
117,79700
118,79700
119,79800
120,82300
121,79900
122,80600
123,79700
124,79600
125,79700
126,79700
127,80100
128,92300
129,80000
130,79900
131,79800
132,79800
133,79600
134,79600
135,79700
136,82300
137,79700
138,79700
139,79700
140,79700
141,79800
142,79700
143,79200
144,79800
145,79900
146,79700
147,79700
148,79700
149,79700
150,79800
151,80700
152,80300
153,82600
154,80000
155,79900
156,79900
157,79700
158,79700
159,79700
160,79600
161,79700
162,79700
163,79600
164,79600
165,79700
166,79600
167,79800
168,79700
169,79600
170,82100
171,80000
172,79900
173,79800
174,79700
175,79800
176,79800
177,79800
178,79700
179,94300
180,81400
181,80600
182,80300
183,80200
184,80200
185,80300
186,82400
187,79800
188,80400
189,80400
190,79800
191,80300
192,79800
193,79800
194,79900
195,81900
196,79800
197,79800
198,79200
199,79800
200,79300
201,79800
202,79900
203,79800
204,81700
205,79900
206,79800
207,79900
208,79800
209,79700
210,79700
211,79800
212,79800
213,82100
214,79800
215,79300
216,80000
217,79900
218,79900
219,79900
220,79800
221,79700
222,82200
223,79300
224,79900
225,79800
226,79800
227,79800
228,79700
229,79800
230,79800
231,79700
232,82200
233,80300
234,79700
235,79700
236,80500
237,79700
238,79700
239,79700
240,79700
241,79700
242,79800
243,79200
244,79800
245,79900
246,79800
247,79800
248,79900
249,79700
250,79800
251,82100
252,79800
253,80700
254,79900
255,94300
256,80000
257,80400
258,80200
259,84900
260,80500
261,79800
262,79800
263,79800
264,79300
265,79800
266,79900
267,79800
268,79800
269,82200
270,80300
271,79900
272,79900
273,80200
274,79900
275,79800
276,79700
277,79700
278,79700
279,79800
280,79700
281,79800
282,79800
283,79700
284,79700
285,79800
286,79700
287,79700
288,79800
289,81900
290,80500
291,79800
292,79900
293,79800
294,79700
295,79800
296,79800
297,79800
298,79800
299,82000
300,79800
301,79800
302,79700
303,79600
304,79700
305,79700
306,79800
307,79800
308,79700
309,81600
310,79700
311,79600
312,79700
313,79800
314,79700
315,79700
316,79700
317,79700
318,79800
319,85700
320,79300
321,80300
322,80400
323,79000
324,79800
325,79700
326,79700
327,79800
328,79700
329,81900
330,79600
331,79800
332,79700
333,80600
334,79800
335,79800
336,79700
337,79800
338,79700
339,82100
340,79700
341,79600
342,79600
343,79900
344,79800
345,79700
346,79800
347,79800
348,79700
349,79300
350,81900
351,80600
352,80800
353,79800
354,79700
355,79700
356,79700
357,79700
358,79700
359,79700
360,82200
361,79800
362,79700
363,79700
364,79700
365,79800
366,79700
367,79700
368,79600
369,79600
370,79700
371,82000
372,79700
373,80500
374,79700
375,79700
376,79800
377,83600
378,79800
379,79800
380,79800
381,82000
382,79800
383,79800
384,79700
385,79800
386,79800
387,79700
388,79700
389,79800
390,79800
391,79700
392,82200
393,80100
394,79700
395,79900
396,79800
397,79900
398,79800
399,79900
400,80000
401,79900
402,82000
403,79800
404,79900
405,79800
406,79800
407,79800
408,79800
409,79700
410,79800
411,79900
412,79800
413,83800
414,79800
415,79300
416,79800
417,79800
418,79700
419,79700
420,79700
421,79700
422,79700
423,79800
424,81700
425,79800
426,79800
427,79700
428,79600
429,79700
430,79700
431,79900
432,79800
433,79800
434,79700
435,81500
436,79800
437,80400
438,79700
439,79800
440,80500
441,79800
442,79900
443,79700
444,79900
445,79900
446,82600
447,79900
448,79800
449,79800
450,79600
451,79700
452,79800
453,79700
454,79700
455,79800
456,79800
457,81900
458,79700
459,80500
460,80000
461,80500
462,79800
463,79900
464,79800
465,79900
466,79900
467,80000
468,79700
469,80000
470,79800
471,79900
472,79800
473,79800
474,79900
475,79900
476,79800
477,79800
478,79800
479,79900
480,92100
481,79900
482,81000
483,79900
484,80000
485,79700
486,79800
487,79700
488,79900
489,81900
490,79800
491,80100
492,80200
493,80900
494,79800
495,80400
496,80400
497,80100
498,80500
499,80700
500,80300
501,83600
502,79900
503,81000
504,79900
505,80000
506,79900
507,80000
508,80100
509,80000
510,79900
511,86600
512,80300
513,80400
514,79500
515,100800
516,94500
517,80500
518,80600
519,80100
520,83100
521,79700
522,80700
523,80100
524,80500
525,81000
526,80700
527,80200
528,80000
529,80300
530,82800
531,79600
532,79800
533,80400
534,82100
535,79900
536,79800
537,79700
538,79700
539,79800
540,79600
541,82700
542,80100
543,81300
544,80100
545,80400
546,80600
547,80600
548,80000
549,79900
550,80100
551,79700
552,82400
553,79900
554,79300
555,80000
556,79800
557,79700
558,79700
559,79800
560,79600
561,79700
562,82100
563,79700
564,79700
565,80600
566,80500
567,79600
568,79700
569,79700
570,79600
571,79700
572,79600
573,79700
574,92200
575,79700
576,79800
577,79700
578,79600
579,79800
580,79800
581,79700
582,79600
583,79700
584,79700
585,81800
586,79800
587,79600
588,80600
589,79600
590,79600
591,79600
592,79700
593,79500
594,79700
595,79700
596,79600
597,82300
598,79700
599,79600
600,79600
