Test,Time
1,418600
2,27600
3,25300
4,25700
5,24700
6,25500
7,25100
8,25200
9,25600
10,24800
11,25200
12,25200
13,25400
14,24500
15,25300
16,25400
17,27400
18,25800
19,24500
20,25300
21,77000
22,79800
23,81800
24,82200
25,81100
26,73600
27,78800
28,79800
29,83100
30,79600
31,83500
32,76900
33,25600
34,16700
35,15700
36,16200
37,15600
38,46700
39,16100
40,16200
41,15200
42,15800
43,16200
44,16000
45,15900
46,15200
47,15900
48,16000
49,16100
50,15800
51,15500
52,16100
53,15900
54,16100
55,15600
56,16200
57,15900
58,15800
59,15900
60,15300
61,16000
62,16400
63,16400
64,15500
65,16000
66,16200
67,16000
68,15900
69,21700
70,23000
71,22900
72,23100
73,15600
74,16600
75,15900
76,15800
77,15700
78,15200
79,16000
80,23100
81,16500
82,15400
83,16300
84,16100
85,16100
86,15900
87,15500
88,16000
89,15800
90,16000
91,18600
92,15700
93,14400
94,15300
95,11600
96,13600
97,14500
98,5700
99,8700
100,12200
101,15500
102,14300
103,7900
104,10500
105,13500
106,14400
107,2600
108,2400
109,2400
110,2300
111,2400
112,2300
113,3200
114,2400
115,2300
116,2400
117,2400
118,2400
119,2300
120,2400
121,2300
122,2400
123,3000
124,2400
125,2300
126,2300
127,2700
128,2300
129,2400
130,2400
131,2300
132,2400
133,2400
134,3200
135,2400
136,2400
137,2400
138,2400
139,2300
140,2300
141,2300
142,2300
143,2400
144,6400
145,2400
146,2400
147,2300
148,2400
149,2300
150,2300
151,2400
152,2400
153,2300
154,2900
155,2300
156,2400
157,2300
158,2400
159,2400
160,2400
161,2300
162,2300
163,2300
164,3100
165,2300
166,2400
167,2300
168,2400
169,2300
170,4400
171,2400
172,2400
173,2300
174,2400
175,3200
176,2400
177,2300
178,2300
179,2300
180,5100
181,3700
182,3600
183,3800
184,2400
185,3600
186,2300
187,2400
188,2500
189,2300
190,2300
191,2800
192,2300
193,2400
194,2400
195,3700
196,2300
197,2400
198,2400
199,2400
200,2300
201,2400
202,2400
203,2300
204,2400
205,3000
206,2400
207,2400
208,2300
209,2400
210,2400
211,2400
212,2400
213,2300
214,2300
215,2300
216,2900
217,2300
218,2300
219,2400
220,8000
221,2400
222,2300
223,2300
224,2300
225,2300
226,67100
227,2400
228,2400
229,2400
230,2400
231,2400
232,2400
233,2300
234,2300
235,2400
236,26700
237,2400
238,2300
239,2400
240,2300
241,2400
242,2300
243,2300
244,2400
245,2400
246,33500
247,3800
248,3100
249,4900
250,2500
251,2400
252,2400
253,2400
254,2400
255,2800
256,2400
257,31000
258,2300
259,2400
260,2300
261,2400
262,2400
263,2400
264,2400
265,2300
266,2400
267,47100
268,2400
269,2400
270,2400
271,2400
272,2300
273,2500
274,2300
275,2300
276,2400
277,25000
278,2400
279,2300
280,2400
281,2400
282,2400
283,2400
284,2400
285,2300
286,2400
287,26600
288,2400
289,2400
290,400
291,400
292,400
293,300
294,300
295,300
296,300
297,400
298,300
299,300
300,300
301,300
302,400
303,300
304,300
305,400
306,400
307,300
308,300
309,400
310,400
311,400
312,300
313,300
314,300
315,300
316,300
317,300
318,300
319,13500
320,300
321,300
322,300
323,300
324,300
325,300
326,300
327,200
328,300
329,300
330,300
331,300
332,300
333,300
334,300
335,300
336,300
337,200
338,200
339,300
340,300
341,300
342,300
343,300
344,300
345,200
346,300
347,200
348,300
349,200
350,300
351,300
352,300
353,200
354,300
355,200
356,300
357,200
358,300
359,300
360,300
361,300
362,300
363,300
364,300
365,300
366,300
367,300
368,300
369,300
370,200
371,300
372,300
373,300
374,300
375,300
376,300
377,200
378,200
379,300
380,300
381,300
382,300
383,300
384,300
385,200
386,300
387,300
388,300
389,300
390,200
391,300
392,200
393,300
394,300
395,300
396,300
397,300
398,300
399,200
400,300
401,300
402,300
403,200
404,200
405,300
406,300
407,300
408,200
409,300
410,300
411,600
412,300
413,300
414,200
415,300
416,300
417,200
418,300
419,300
420,300
421,300
422,300
423,300
424,300
425,300
426,200
427,300
428,300
429,300
430,300
431,200
432,300
433,300
434,300
435,300
436,200
437,300
438,300
439,300
440,300
441,300
442,300
443,300
444,300
445,300
446,300
447,200
448,300
449,300
450,300
451,300
452,200
453,300
454,200
455,200
456,200
457,500
458,300
459,300
460,300
461,300
462,900
463,500
464,400
465,400
466,300
467,200
468,300
469,200
470,400
471,400
472,300
473,300
474,300
475,300
476,200
477,300
478,300
479,300
480,300
481,300
482,200
483,200
484,300
485,200
486,200
487,200
488,300
489,200
490,200
491,200
492,300
493,300
494,300
495,300
496,200
497,300
498,300
499,200
500,300
501,300
502,300
503,200
504,200
505,200
506,300
507,300
508,300
509,300
510,300
511,300
512,300
513,300
514,300
515,200
516,200
517,200
518,300
519,300
520,300
521,300
522,300
523,300
524,200
525,200
526,300
527,200
528,200
529,200
530,300
531,300
532,300
533,200
534,300
535,300
536,300
537,300
538,300
539,300
540,200
541,300
542,200
543,300
544,300
545,300
546,300
547,300
548,200
549,300
550,200
551,300
552,300
553,200
554,300
555,300
556,300
557,200
558,300
559,300
560,300
561,200
562,300
563,200
564,300
565,300
566,200
567,300
568,300
569,200
570,300
571,200
572,300
573,300
574,200
575,200
576,300
577,200
578,300
579,200
580,200
581,300
582,200
583,200
584,300
585,300
586,300
587,300
588,200
589,300
590,300
591,300
592,200
593,200
594,200
595,300
596,200
597,200
598,300
599,200
600,200
