Test,Time
1,3986500
2,782400
3,772300
4,771800
5,788000
6,820700
7,777000
8,774300
9,1003200
10,1373300
11,1538100
12,1510700
13,68200
14,66800
15,67300
16,66300
17,66800
18,66700
19,66900
20,97000
21,67300
22,66700
23,66700
24,66600
25,66500
26,96500
27,66600
28,70700
29,66500
30,65800
31,66500
32,65800
33,66400
34,66400
35,66200
36,66200
37,69000
38,66200
39,66300
40,66200
41,66400
42,66400
43,65700
44,114500
45,71400
46,65400
47,64500
48,64300
49,63900
50,63900
51,63800
52,64000
53,63800
54,63600
55,63600
56,63700
57,63500
58,63700
59,63900
60,63600
61,63800
62,63500
63,64300
64,63500
65,63600
66,63500
67,63600
68,63400
69,63500
70,63400
71,63500
72,63200
73,65700
74,63500
75,63700
76,63400
77,63400
78,63700
79,63600
80,63500
81,63700
82,63700
83,63700
84,63700
85,63800
86,63700
87,63800
88,64100
89,64000
90,63800
91,63800
92,64100
93,63900
94,106000
95,77000
96,65100
97,109000
98,65000
99,70700
100,64000
101,64000
102,63600
103,63700
104,63500
105,63600
106,63800
107,63400
108,63500
109,66000
110,63400
111,63600
112,63400
113,63700
114,63700
115,63600
116,63500
117,63500
118,63600
119,63500
120,64000
121,64000
122,67800
123,63700
124,63700
125,63700
126,63700
127,63900
128,66800
129,63900
130,63800
131,63800
132,63600
133,64100
134,63600
135,63700
136,63900
137,66900
138,94200
139,65700
140,64400
141,64100
142,64000
143,64100
144,63800
145,63900
146,63700
147,63900
148,63700
149,63900
150,64000
151,63900
152,63600
153,63600
154,63400
155,66700
156,63500
157,63500
158,63600
159,63700
160,63700
161,63600
162,63600
163,63500
164,63600
165,63600
166,63700
167,63600
168,63900
169,63600
170,64400
171,64600
172,64200
173,64000
174,63700
175,63800
176,63900
177,63700
178,63700
179,63500
180,63700
181,63500
182,63600
183,63600
184,63500
185,66200
186,63600
187,63700
188,63700
189,63700
190,64100
191,65000
192,63700
193,63600
194,63600
195,63600
196,63500
197,63500
198,63300
199,63600
200,63700
201,63600
202,63600
203,63800
204,63800
205,68600
206,65400
207,64800
208,64400
209,63900
210,63700
211,64000
212,64000
213,63800
214,63800
215,63900
216,63800
217,63600
218,63700
219,63600
220,63700
221,63700
222,63500
223,63600
224,63300
225,66000
226,63800
227,63600
228,63800
229,63500
230,63400
231,63400
232,63600
233,63500
234,63500
235,63600
236,65800
237,63500
238,63700
239,63600
240,63400
241,63400
242,63300
243,63400
244,63500
245,63500
246,63600
247,74400
248,63500
249,65600
250,64300
251,64300
252,64000
253,63700
254,63800
255,63800
256,63500
257,64400
258,64300
259,64100
260,63900
261,63700
262,63700
263,63700
264,63600
265,63500
266,63600
267,66200
268,63700
269,63400
270,63600
271,63500
272,63800
273,63800
274,63500
275,63600
276,63400
277,63700
278,66300
279,63800
280,63600
281,63300
282,63600
283,63600
284,63300
285,63300
286,63400
287,63400
288,63500
289,63400
290,68100
291,63600
292,63500
293,63900
294,63600
295,63700
296,72600
297,64400
298,63700
299,63400
300,63500
301,63400
302,63700
303,63600
304,63400
305,63600
306,63600
307,63400
308,63600
309,63600
310,63400
311,63200
312,63500
313,66300
314,63600
315,63500
316,63300
317,63700
318,63400
319,76600
320,63600
321,63500
322,64200
323,63700
324,63200
325,63600
326,63600
327,63600
328,63200
329,63300
330,63300
331,63600
332,63200
333,63400
334,63600
335,63800
336,63300
337,70100
338,63800
339,63600
340,63600
341,63500
342,63300
343,63400
344,66800
345,63600
346,63200
347,63300
348,66000
349,63600
350,63600
351,63300
352,63300
353,63700
354,64100
355,63500
356,63400
357,63400
358,63500
359,63600
360,66200
361,63600
362,63400
363,63700
364,63300
365,63400
366,63600
367,63300
368,63500
369,63300
370,63300
371,63400
372,63400
373,63400
374,63400
375,63600
376,63400
377,63600
378,63400
379,63600
380,63500
381,63300
382,63700
383,63500
384,63300
385,63500
386,63600
387,63400
388,63300
389,63400
390,63400
391,63500
392,63700
393,63400
394,63500
395,63200
396,63500
397,66000
398,63300
399,63400
400,63200
401,63700
402,63900
403,63700
404,63600
405,63500
406,63600
407,63500
408,63600
409,65900
410,63400
411,63400
412,63300
413,63400
414,63200
415,63600
416,63600
417,63600
418,63500
419,63300
420,63400
421,63200
422,66000
423,63600
424,63400
425,63400
426,63400
427,63400
428,63500
429,63500
430,63300
431,63500
432,63300
433,63500
434,63200
435,63100
436,65400
437,63400
438,63300
439,63200
440,63400
441,63300
442,63400
443,63300
444,63600
445,63400
446,63700
447,63400
448,63300
449,65900
450,63700
451,63400
452,63500
453,63400
454,63600
455,63500
456,63500
457,63300
458,63500
459,63400
460,63600
461,63200
462,65700
463,63600
464,63600
465,63400
466,64100
467,63400
468,63600
469,63900
470,63500
471,63800
472,63400
473,63400
474,63400
475,63300
476,145400
477,113600
478,65100
479,64300
480,64200
481,63800
482,63600
483,63700
484,63600
485,63300
486,65800
487,63500
488,63500
489,63300
490,63500
491,63500
492,63400
493,63900
494,63300
495,63600
496,63700
497,63500
498,63600
499,63600
500,65600
501,63500
502,63400
503,63200
504,63800
505,63700
506,63300
507,63500
508,63400
509,63400
510,63300
511,63700
512,66700
513,64100
514,64100
515,63700
516,63900
517,63700
518,63400
519,63600
520,63600
521,63400
522,63200
523,63500
524,63500
525,65700
526,63300
527,63300
528,63200
529,63400
530,63300
531,63400
532,63500
533,63500
534,63300
535,63300
536,63200
537,63400
538,63500
539,65600
540,63300
541,63500
542,63400
543,63500
544,63500
545,63400
546,63500
547,63400
548,63300
549,63600
550,63700
551,63800
552,66200
553,63600
554,63500
555,63500
556,63400
557,63400
558,63400
559,63500
560,63500
561,63500
562,63400
563,63600
564,63600
565,63500
566,66100
567,63500
568,63400
569,63400
570,63300
571,63500
572,63500
573,63400
574,63700
575,63600
576,63600
577,63700
578,63600
579,63300
580,66500
581,63700
582,63500
583,63200
584,63300
585,63500
586,63500
587,63500
588,63800
589,63300
590,63200
591,63300
592,63400
593,63300
594,65800
595,63500
596,63300
597,63300
598,63400
599,63300
600,63400
